,Total_Associations,Positive_WithinGenus,Negative_WithinGenus,Positive_WithinFamily,Negative_WithinFamily,Positive_WithinOrder,Negative_WithinOrder,Positive_WithinClass,Negative_WithinClass,Positive_WithinPhylum,Negative_WithinPhylum,Positive_OutsidePhylum,Negative_OutsidePhylum
0,292,7.0,0.0,27,2.0,70,0.0,0.0,0.0,54,1.0,126,5.0
1,292,8.0,0.0,27,0.0,72,4.0,0.0,0.0,51,2.0,126,2.0
2,292,5.0,0.0,22,0.0,60,3.0,1.0,0.0,60,0.0,136,5.0
3,292,9.0,0.0,29,0.0,71,1.0,0.0,0.0,54,1.0,121,6.0
4,292,7.0,0.0,29,2.0,77,2.0,0.0,0.0,52,1.0,119,3.0
5,292,8.0,0.0,28,0.0,74,3.0,0.0,0.0,60,1.0,114,4.0
6,292,13.0,0.0,25,1.0,73,1.0,0.0,0.0,45,2.0,128,4.0
7,292,7.0,0.0,27,1.0,73,1.0,0.0,0.0,46,1.0,131,5.0
8,292,9.0,0.0,22,0.0,79,1.0,0.0,0.0,44,1.0,130,6.0
9,292,4.0,0.0,33,1.0,72,3.0,0.0,0.0,50,1.0,125,3.0
10,292,4.0,0.0,24,1.0,75,1.0,0.0,0.0,42,4.0,139,2.0
11,292,13.0,0.0,25,1.0,78,0.0,1.0,0.0,53,1.0,114,6.0
12,292,10.0,0.0,20,0.0,74,1.0,0.0,0.0,47,1.0,133,6.0
13,292,10.0,0.0,28,1.0,74,0.0,0.0,0.0,49,1.0,123,6.0
14,292,7.0,0.0,21,0.0,69,3.0,1.0,0.0,61,2.0,125,3.0
15,292,12.0,0.0,21,1.0,59,2.0,0.0,0.0,55,2.0,137,3.0
16,292,12.0,1.0,27,0.0,71,1.0,0.0,0.0,50,3.0,124,3.0
17,292,3.0,2.0,23,0.0,81,0.0,0.0,0.0,49,2.0,128,4.0
18,292,7.0,0.0,28,1.0,73,0.0,1.0,0.0,55,3.0,120,4.0
19,292,10.0,2.0,18,3.0,83,1.0,0.0,0.0,62,1.0,111,1.0
20,292,9.0,0.0,26,1.0,63,2.0,1.0,0.0,49,4.0,136,1.0
21,292,9.0,0.0,25,2.0,69,3.0,0.0,0.0,57,2.0,124,1.0
22,292,6.0,0.0,23,1.0,71,1.0,0.0,0.0,54,1.0,130,5.0
23,292,9.0,0.0,21,0.0,73,4.0,0.0,0.0,54,0.0,127,4.0
24,292,9.0,1.0,29,1.0,58,1.0,0.0,0.0,58,1.0,130,4.0
25,292,9.0,0.0,22,1.0,82,1.0,0.0,0.0,58,3.0,113,3.0
26,292,9.0,0.0,18,0.0,78,0.0,1.0,0.0,50,1.0,128,7.0
27,292,6.0,0.0,24,1.0,75,2.0,0.0,0.0,49,0.0,130,5.0
28,292,8.0,0.0,28,0.0,68,0.0,1.0,0.0,39,2.0,140,6.0
29,292,7.0,0.0,19,1.0,81,0.0,0.0,0.0,51,2.0,126,5.0
30,292,7.0,0.0,27,2.0,76,1.0,0.0,0.0,44,1.0,130,4.0
31,292,8.0,0.0,26,2.0,101,3.0,0.0,0.0,50,1.0,99,2.0
32,292,8.0,0.0,30,1.0,68,2.0,0.0,1.0,42,0.0,136,4.0
33,292,5.0,0.0,23,1.0,87,1.0,0.0,0.0,51,1.0,118,5.0
34,292,10.0,1.0,24,3.0,78,1.0,0.0,0.0,58,1.0,114,2.0
35,292,9.0,0.0,26,2.0,88,2.0,0.0,0.0,38,2.0,123,2.0
36,292,8.0,0.0,22,0.0,66,2.0,1.0,0.0,56,2.0,131,4.0
37,292,12.0,0.0,28,1.0,69,5.0,1.0,0.0,48,0.0,126,2.0
38,292,12.0,0.0,23,3.0,76,1.0,0.0,0.0,51,1.0,122,3.0
39,292,8.0,0.0,29,0.0,69,3.0,0.0,0.0,56,1.0,122,4.0
40,292,14.0,1.0,23,1.0,69,3.0,1.0,0.0,47,0.0,130,3.0
41,292,8.0,0.0,19,1.0,58,3.0,0.0,0.0,44,1.0,155,3.0
