,CRC
Clostridiales_bacterium_CCNA10<-->Ruthenibacterium_lactatiformans,0.028941464160789
Angelakisella_massiliensis<-->Clostridiales_bacterium_CCNA10,0.023562677831766004
Butyricicoccus_pullicaecorum<-->Clostridiales_bacterium_CCNA10,0.068957196799125
Clostridiales_bacterium_CCNA10<-->Johnsonella_ignava,-0.010334679774025999
Clostridiales_bacterium_CCNA10<-->Flavonifractor_plautii,0.043787037290428
Clostridiales_bacterium_CCNA10<-->Clostridium_bolteae,0.036324864758781
Anaerotruncus_colihominis<-->Clostridiales_bacterium_CCNA10,0.047397325082541
Bacteroides_fluxus<-->Clostridiales_bacterium_CCNA10,0.04459459292748599
Clostridiales_bacterium_CCNA10<-->Pseudoflavonifractor_capillosus,0.052137854206803
Bacteroides_thetaiotaomicron<-->Clostridiales_bacterium_CCNA10,0.027425813708326002
Dialister_pneumosintes<-->Peptostreptococcus_stomatis,0.12090324482673598
Bacteroides_salyersiae<-->Bacteroides_uniformis,0.026358655544778002
Bacteroides_faecichinchillae<-->Bacteroides_uniformis,0.015390163396244
Bacteroides_fluxus<-->Bacteroides_uniformis,0.013423424566552001
Bacteroides_dorei<-->Bacteroides_uniformis,0.030538600798534002
Bacteroides_pyogenes<-->Bacteroides_uniformis,0.030233906316059
Bacteroides_caecimuris<-->Bacteroides_fragilis,0.07407156100511099
Bacteroides_caecimuris<-->Clostridium_citroniae,0.075677752316732
Bacteroides_caecimuris<-->Clostridium_symbiosum,0.016815814137693
Bacteroides_caecimuris<-->Tyzzerella_nexilis,0.011069047380885
Bacteroides_caecimuris<-->Flavonifractor_plautii,0.012667683987613998
Bacteroides_caecimuris<-->Clostridium_bolteae,0.073588952127548
Bacteroides_caecimuris<-->Bacteroides_pyogenes,0.124426362031167
Bacteroides_caecimuris<-->Bacteroides_nordii,0.032362492107513
Bacteroides_coprocola<-->Bacteroides_thetaiotaomicron,0.030806799640321
Bacteroides_fragilis<-->Bacteroides_thetaiotaomicron,0.017421544888841
Bacteroides_thetaiotaomicron<-->Ruminococcus_callidus,-0.025580062041007004
Bacteroides_thetaiotaomicron<-->Lachnoclostridium_sp_YL32,0.048940765537340995
Bacteroides_thetaiotaomicron<-->Clostridium_citroniae,0.038186482311456
Bacteroides_salyersiae<-->Bacteroides_thetaiotaomicron,0.039557458527071
Agathobaculum_desmolans<-->Bacteroides_thetaiotaomicron,0.021685273367629
Bacteroides_thetaiotaomicron<-->Hungatella_hathewayi,0.036464929477878
Bacteroides_thetaiotaomicron<-->Flavonifractor_plautii,0.064369647715904
Bacteroides_thetaiotaomicron<-->Clostridium_bolteae,0.093901150857869
Anaerotruncus_colihominis<-->Bacteroides_thetaiotaomicron,0.010769874847999001
Bacteroides_thetaiotaomicron<-->Marvinbryantia_formatexigens,0.017587188899595003
Bacteroides_pyogenes<-->Bacteroides_thetaiotaomicron,0.080786563184926
Bacteroides_thetaiotaomicron<-->Clostridium_innocuum,0.01186833938667
Clostridium_innocuum<-->Ruminococcus_gnavus,0.010262758680298
Clostridium_innocuum<-->Clostridium_symbiosum,0.058799301836848
Clostridium_innocuum<-->Tyzzerella_nexilis,0.038991798547614
Blautia_sp_N6H1-15<-->Clostridium_innocuum,0.078875883699251
Blautia_producta<-->Clostridium_innocuum,0.027835421192374997
Clostridium_innocuum<-->Marvinbryantia_formatexigens,0.068414595840407
Clostridium_innocuum<-->Provencibacterium_massiliense,-0.056622386424824006
Angelakisella_massiliensis<-->Oscillibacter_sp_PEA192,0.040449018032459
Oscillibacter_sp_PEA192<-->Veillonella_dispar,-0.030190136370538
Bacteroides_fluxus<-->Bacteroides_helcogenes,0.011321603423768999
Bacteroides_coprophilus<-->Bacteroides_helcogenes,0.027941874706171002
Dorea_formicigenerans<-->Faecalibacterium_prausnitzii,0.022298431145405
Holdemania_massiliensis<-->Neglecta_timonensis,0.027778587312862
Clostridium_leptum<-->Neglecta_timonensis,0.013608856953642001
Agathobaculum_desmolans<-->Marvinbryantia_formatexigens,0.06373549407933402
Blautia_obeum<-->Fusicatenibacter_saccharivorans,0.023848063093284
Bacteroides_fragilis<-->Tyzzerella_nexilis,0.040971806894157005
Bacteroides_fragilis<-->Bacteroides_pyogenes,0.03166043293813
Bacteroides_fragilis<-->Bacteroides_ovatus,0.070265983001388
Bacteroides_fragilis<-->Clostridium_glycyrrhizinilyticum,0.024547191668039
Anaerotruncus_colihominis<-->Gemella_morbillorum,-0.024059523435685
Anaerotruncus_colihominis<-->Hungatella_hathewayi,0.061586921784263005
Anaerotruncus_colihominis<-->Flavonifractor_plautii,0.036434602831279
Anaerotruncus_colihominis<-->Pseudoflavonifractor_capillosus,0.049315858019647
Anaerotruncus_colihominis<-->Bacteroides_cellulosilyticus,0.016721052425397
Bacteroides_heparinolyticus<-->Barnesiella_viscericola,0.040126357913217996
Bacteroides_fluxus<-->Clostridium_citroniae,0.08954980847660601
Bacteroides_fluxus<-->Butyricicoccus_pullicaecorum,0.016306299522729
Bacteroides_fluxus<-->Johnsonella_ignava,-0.041690000903327994
Bacteroides_fluxus<-->Flavonifractor_plautii,0.027111060053032994
Bacteroides_fluxus<-->Bacteroides_pyogenes,0.018230943833928998
Bacteroides_fluxus<-->Bariatricus_massiliensis,-0.042652817802182996
Clostridium_citroniae<-->bacterium_LF-3,-0.013037474397796001
Clostridium_sporogenes<-->bacterium_LF-3,0.0674599997737
Christensenella_minuta<-->bacterium_LF-3,0.079447783874772
Butyricicoccus_pullicaecorum<-->Subdoligranulum_variabile,0.059980795496794005
Fournierella_massiliensis<-->Subdoligranulum_variabile,0.03291671723294
Angelakisella_massiliensis<-->Bacteroides_cellulosilyticus,0.0265161437762
Blautia_hansenii<-->Flavonifractor_plautii,0.012094478665090001
Blautia_hansenii<-->Clostridium_bolteae,0.012420593462761002
Anaerotignum_lactatifermentans<-->Blautia_hansenii,0.024258197662919
Alistipes_obesi<-->Angelakisella_massiliensis,0.038187794967931996
Alistipes_obesi<-->Alistipes_putredinis,0.050475322722537005
Alistipes_senegalensis<-->Culturomica_massiliensis,0.064179894940164
Collinsella_aerofaciens<-->Johnsonella_ignava,0.04692465242933401
Johnsonella_ignava<-->Lachnoclostridium_sp_YL32,-0.015077984369530999
