,Healthy,CRC
Eubacterium_ventriosum<-->Lactobacillus_rogosae,0.054468969011207,
Eubacterium_eligens<-->Lactobacillus_rogosae,0.10954986662631899,
Holdemania_massiliensis<-->Johnsonella_ignava,0.06215435367692201,
Johnsonella_ignava<-->Ruminococcus_bicirculans,0.042037659030441,
Bacteroides_cellulosilyticus<-->Butyricimonas_faecalis,0.102275777271162,
Blautia_producta<-->Clostridium_saccharogumia,0.07580591740454401,
Dorea_formicigenerans<-->Dorea_longicatena,0.020090809587999,
Dorea_formicigenerans<-->Eubacterium_ramulus,0.025903975861378,
Dorea_formicigenerans<-->Ruminococcus_faecis,0.018102797038398996,
Streptococcus_parasanguinis<-->Streptococcus_sp_FDAARGOS_192,0.144845884982807,
Absiella_dolichum<-->Agathobaculum_desmolans,0.083036366237569,
Absiella_dolichum<-->Hungatella_hathewayi,0.035403883419974,
Absiella_dolichum<-->Subdoligranulum_variabile,0.070877171772408,
Absiella_dolichum<-->Emergencia_timonensis,0.04674765953935701,
Clostridium_phoceensis<-->Ruthenibacterium_lactatiformans,0.015113562023031,
Clostridium_citroniae<-->Clostridium_phoceensis,0.012017579005731001,
Clostridium_phoceensis<-->Massilioclostridium_coli,0.041813755933120006,
Angelakisella_massiliensis<-->Clostridium_phoceensis,0.016758469156895002,
Anaerotruncus_colihominis<-->Clostridium_phoceensis,0.043560437957091004,
Clostridium_phoceensis<-->Pseudoflavonifractor_capillosus,0.08297987250388701,
Clostridium_phoceensis<-->Subdoligranulum_variabile,0.033175728820467,
Clostridium_asparagiforme<-->Clostridium_phoceensis,0.023904680635349996,
Oscillibacter_sp_PEA192<-->Ruthenibacterium_lactatiformans,0.09398434066710999,
Negativibacillus_massiliensis<-->Oscillibacter_sp_PEA192,0.038248715448748,
Massilioclostridium_coli<-->Oscillibacter_sp_PEA192,0.014424145858898,
Flavonifractor_plautii<-->Oscillibacter_sp_PEA192,0.076997165256595,
Anaerotruncus_colihominis<-->Oscillibacter_sp_PEA192,0.013391195608054,
Clostridium_leptum<-->Oscillibacter_sp_PEA192,0.036476274587385005,
Lachnospiraceae_bacterium_Choco86<-->Oscillibacter_sp_PEA192,-0.033194024822766004,
Intestinimonas_butyriciproducens<-->Oscillibacter_sp_PEA192,0.047825143126466,
Clostridium_asparagiforme<-->Oscillibacter_sp_PEA192,0.08020002903642,
Ruthenibacterium_lactatiformans<-->Subdoligranulum_variabile,0.014131735947485999,
Negativibacillus_massiliensis<-->Subdoligranulum_variabile,0.078019184600322,
Massilioclostridium_coli<-->Subdoligranulum_variabile,0.02791461007684,
Agathobaculum_desmolans<-->Subdoligranulum_variabile,0.057961288419188,
Roseburia_intestinalis<-->Subdoligranulum_variabile,0.034597221429326,
Intestinimonas_butyriciproducens<-->Subdoligranulum_variabile,0.012284226377972001,
Lachnoclostridium_phocaeense<-->Subdoligranulum_variabile,0.06859121074771,
Emergencia_timonensis<-->Subdoligranulum_variabile,0.09209931912309101,
Bacteroides_vulgatus<-->Subdoligranulum_variabile,-0.016246089766725,
Clostridioides_difficile<-->bacterium_LF-3,0.045059104112120996,
Bacteroides_dorei<-->Bacteroides_salyersiae,0.050834499374190004,
Bacteroides_dorei<-->Bacteroides_fluxus,0.057569998540205,
Bacteroides_dorei<-->Bacteroides_helcogenes,0.026626590303109,
Bacteroides_dorei<-->Bacteroides_thetaiotaomicron,0.020306122091404,
Odoribacter_splanchnicus<-->Parabacteroides_distasonis,0.031154554791586003,
Bacteroides_uniformis<-->Parabacteroides_distasonis,0.075746221267787,
Bacteroides_ovatus<-->Parabacteroides_distasonis,0.07409110298523,
Lachnoclostridium_phocaeense<-->Ruthenibacterium_lactatiformans,0.05022493218508701,
Lachnoclostridium_phocaeense<-->Negativibacillus_massiliensis,0.030239084602485002,
Lachnoclostridium_phocaeense<-->Massilioclostridium_coli,0.06901949430137401,
Agathobaculum_desmolans<-->Lachnoclostridium_phocaeense,0.039181698657566,
Hungatella_hathewayi<-->Lachnoclostridium_phocaeense,0.097384878397328,
Clostridium_innocuum<-->Lachnoclostridium_phocaeense,0.06667843997995901,
Emergencia_timonensis<-->Lachnoclostridium_phocaeense,0.05811545272064401,
Clostridium_asparagiforme<-->Lachnoclostridium_phocaeense,0.034998634949202,
Hungatella_hathewayi<-->Massilioclostridium_coli,0.07018470104752701,
Hungatella_hathewayi<-->Merdimonas_faecis,0.021121764765463,
Agathobaculum_desmolans<-->Hungatella_hathewayi,0.072988483201532,
Flavonifractor_plautii<-->Hungatella_hathewayi,0.051732750570028,
Hungatella_hathewayi<-->Pseudoflavonifractor_capillosus,0.022953905068852993,
Emergencia_timonensis<-->Hungatella_hathewayi,0.013538415759259,
Clostridium_asparagiforme<-->Hungatella_hathewayi,0.075146842953221,
Lachnospiraceae_bacterium_GAM79<-->Roseburia_hominis,0.026543962262934,
Bacteroides_caccae<-->Bacteroides_nordii,0.031095153815581002,
Bacteroides_nordii<-->Coprobacter_secundus,0.029110723577317997,
Bacteroides_nordii<-->Bacteroides_salanitronis,0.067326357180985,
Haemophilus_parainfluenzae<-->Streptococcus_mitis,0.015493501860469,
Granulicatella_adiacens<-->Streptococcus_mitis,0.048211455932737,
Streptococcus_mitis<-->Streptococcus_sp_oral_taxon_431,0.146303172471292,
Odoribacter_splanchnicus<-->Parabacteroides_goldsteinii,0.058355839585474,
