Bacterial_Species,Prevalence,Cohort
Abiotrophia_defectiva,0.3595505617977528,Healthy
Absiella_dolichum,0.9943820224719101,Healthy
Acetanaerobacterium_elongatum,0.016853932584269662,Healthy
Acetitomaculum_ruminis,0.11235955056179775,Healthy
Acetivibrio_ethanolgignens,0.9887640449438202,Healthy
Acholeplasma_brassicae,0.011235955056179775,Healthy
Acidaminococcus_fermentans,0.30337078651685395,Healthy
Acidaminococcus_intestini,0.5168539325842697,Healthy
Acidaminococcus_timonensis,0.4438202247191011,Healthy
Acidovorax_delafieldii,0.0056179775280898875,Healthy
Acidovorax_soli,0.0056179775280898875,Healthy
Acinetobacter_baumannii,0.0056179775280898875,Healthy
Acinetobacter_haemolyticus,0.0056179775280898875,Healthy
Acinetobacter_indicus,0.0056179775280898875,Healthy
Acinetobacter_johnsonii,0.0056179775280898875,Healthy
Acinetobacter_lwoffii,0.0056179775280898875,Healthy
Acinetobacter_sp_WCHA55,0.0056179775280898875,Healthy
Acinetobacter_tandoii,0.0056179775280898875,Healthy
Acinetobacter_ursingii,0.011235955056179775,Healthy
Actinobacillus_pleuropneumoniae,0.02247191011235955,Healthy
Actinobacillus_porcitonsillarum,0.0056179775280898875,Healthy
Actinomyces_dentalis,0.06741573033707865,Healthy
Actinomyces_gerencseriae,0.0449438202247191,Healthy
Actinomyces_graevenitzii,0.4550561797752809,Healthy
Actinomyces_hongkongensis,0.12921348314606743,Healthy
Actinomyces_israelii,0.02247191011235955,Healthy
Actinomyces_johnsonii,0.15730337078651685,Healthy
Actinomyces_massiliensis,0.11797752808988764,Healthy
Actinomyces_oris,0.4550561797752809,Healthy
Actinomyces_pacaensis,0.8820224719101124,Healthy
Actinomyces_sp_oral_taxon_414,0.016853932584269662,Healthy
Actinomyces_urinae,0.0056179775280898875,Healthy
Actinomyces_viscosus,0.10112359550561797,Healthy
Actinotignum_schaalii,0.016853932584269662,Healthy
Acutalibacter_muris,0.5337078651685393,Healthy
Adlercreutzia_equolifaciens,0.651685393258427,Healthy
Aerococcus_christensenii,0.0056179775280898875,Healthy
Aerococcus_urinae,0.0056179775280898875,Healthy
Aerococcus_viridans,0.0056179775280898875,Healthy
Aeromonas_caviae,0.011235955056179775,Healthy
Aeromonas_hydrophila,0.0056179775280898875,Healthy
Aeromonas_rivipollensis,0.0056179775280898875,Healthy
Aeromonas_salmonicida,0.011235955056179775,Healthy
Aeromonas_sp_ASNIH1,0.011235955056179775,Healthy
Aeromonas_sp_ASNIH2,0.011235955056179775,Healthy
Aeromonas_sp_ASNIH3,0.011235955056179775,Healthy
Aeromonas_sp_ASNIH5,0.011235955056179775,Healthy
Aeromonas_sp_ASNIH7,0.016853932584269662,Healthy
Aeromonas_veronii,0.0056179775280898875,Healthy
Agathobaculum_desmolans,0.9943820224719101,Healthy
Aggregatibacter_actinomycetemcomitans,0.011235955056179775,Healthy
Aggregatibacter_aphrophilus,0.24157303370786518,Healthy
Aggregatibacter_segnis,0.37640449438202245,Healthy
