TIGRFAM,ROLE_ID,SubRole,MainRole
TIGR00001,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00002,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00003,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00004,92,Other,Cellular processes
TIGR00005,168,tRNA and rRNA base modification,Protein synthesis
TIGR00006,168,tRNA and rRNA base modification,Protein synthesis
TIGR00007,161,Histidine family,Amino acid biosynthesis
TIGR00008,169,Translation factors,Protein synthesis
TIGR00009,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00010,703,Enzymes of unknown specificity,Unknown function
TIGR00011,137,tRNA aminoacylation,Protein synthesis
TIGR00012,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00013,184,Other,Energy metabolism
TIGR00014,96,Detoxification,Cellular processes
TIGR00016,114,Fermentation,Energy metabolism
TIGR00017,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00018,83,Pantothenate and coenzyme A,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00019,169,Translation factors,Protein synthesis
TIGR00020,169,Translation factors,Protein synthesis
TIGR00021,117,Pentose phosphate pathway,Energy metabolism
TIGR00022,157,General,Unknown function
TIGR00023,176,Biosynthesis,Fatty acid and phospholipid metabolism
TIGR00024,703,Enzymes of unknown specificity,Unknown function
TIGR00026,703,Enzymes of unknown specificity,Unknown function
TIGR00027,703,Enzymes of unknown specificity,Unknown function
TIGR00029,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00030,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00031,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00032,73,Glutamate family,Amino acid biosynthesis
TIGR00033,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR00034,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR00035,109,Amino acids and amines,Energy metabolism
TIGR00036,71,Aspartate family,Amino acid biosynthesis
TIGR00037,169,Translation factors,Protein synthesis
TIGR00038,169,Translation factors,Protein synthesis
TIGR00039,168,tRNA and rRNA base modification,Protein synthesis
TIGR00040,703,Enzymes of unknown specificity,Unknown function
TIGR00041,124,Nucleotide and nucleoside interconversions,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00042,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00043,136,Other,Protein synthesis
TIGR00044,703,Enzymes of unknown specificity,Unknown function
TIGR00045,184,Other,Energy metabolism
TIGR00046,168,tRNA and rRNA base modification,Protein synthesis
TIGR00048,168,tRNA and rRNA base modification,Protein synthesis
TIGR00049,76,Other,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00050,168,tRNA and rRNA base modification,Protein synthesis
TIGR00051,157,General,Unknown function
TIGR00052,703,Enzymes of unknown specificity,Unknown function
TIGR00053,149,Adaptations to atypical conditions,Cellular processes
TIGR00054,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00055,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR00056,156,Conserved,Hypothetical proteins
TIGR00057,168,tRNA and rRNA base modification,Protein synthesis
TIGR00059,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00060,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00061,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00062,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00063,78,Folic acid,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00064,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00065,93,Cell division,Cellular processes
TIGR00066,86,Glutathione and analogs,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00067,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00068,100,Amino sugars,Central intermediary metabolism
TIGR00068,184,Other,Energy metabolism
TIGR00069,161,Histidine family,Amino acid biosynthesis
TIGR00070,161,Histidine family,Amino acid biosynthesis
TIGR00071,168,tRNA and rRNA base modification,Protein synthesis
TIGR00073,140,Protein modification and repair,Protein fate
TIGR00074,95,Protein folding and stabilization,Protein fate
TIGR00074,140,Protein modification and repair,Protein fate
TIGR00075,140,Protein modification and repair,Protein fate
TIGR00077,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00078,163,Pyridine nucleotides,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00079,140,Protein modification and repair,Protein fate
TIGR00080,140,Protein modification and repair,Protein fate
TIGR00081,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00082,166,RNA processing,Transcription
TIGR00083,85,"Riboflavin, FMN, and FAD","Biosynthesis of cofactors, prosthetic groups, and carriers"
