Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Schaalia_odontolytica,0.0004409377012517099,4,3,1,1,0.024390243902439025,0.16666666666666666,28.20000000000001,0.025962968212250616,CRC
Bacteroides_fragilis,0.012104151404238553,6,6,0,8,0.03658536585365854,0.5333333333333333,40.333333333333314,0.000824937958905491,CRC
Mediterranea_massiliensis,0.0023404977348902693,4,4,0,1,0.024390243902439025,0.16666666666666666,33.37619047619048,0.00847029212503357,CRC
Streptococcus_mitis,0.0004409600211253227,2,2,0,1,0.012195121951219513,1.0,23.6547619047619,0.0,CRC
Johnsonella_ignava,0.00013188257751826817,6,2,4,3,0.03658536585365854,0.2,41.29285714285716,0.014299504421059548,CRC
Eubacterium_plexicaudatum,5.8765353762944134e-05,2,2,0,0,0.012195121951219513,0.0,30.72380952380953,0.0016770528374861287,CRC
Bacteroides_faecichinchillae,0.0006949187170575777,7,7,0,17,0.042682926829268296,0.8095238095238095,39.83571428571428,0.00033277573669731307,CRC
Massilioclostridium_coli,0.00029873321319506693,5,5,0,3,0.03048780487804878,0.3,36.409523809523805,0.028245384106373558,CRC
Ruminococcus_lactaris,0.0011558592395911568,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Clostridium_scindens,0.00038508171311522226,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Bacteroides_stercoris,0.022201004337594765,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Intestinimonas_butyriciproducens,0.001218659107953291,4,4,0,2,0.024390243902439025,0.3333333333333333,34.53333333333333,0.012999965668777522,CRC
Clostridium_glycyrrhizinilyticum,0.0013188717364419635,11,11,0,25,0.06707317073170732,0.45454545454545453,43.88333333333333,0.0060936678563732055,CRC
Fournierella_massiliensis,0.0007502140574656414,4,4,0,4,0.024390243902439025,0.6666666666666666,34.31904761904758,0.0004095774646986678,CRC
Bacteroides_fluxus,0.0036826464780243787,18,16,2,46,0.10975609756097561,0.3006535947712418,49.942857142857235,0.03888837817194831,CRC
Butyrivibrio_crossotus,0.00032972724005608887,4,4,0,1,0.024390243902439025,0.16666666666666666,6.0,0.0007107586413287446,CRC
Bacteroides_ovatus,0.013693173194393338,5,5,0,8,0.03048780487804878,0.8,39.10238095238095,0.00013561180701686466,CRC
Bacteroides_nordii,0.001677691616301898,2,2,0,1,0.012195121951219513,1.0,33.576190476190476,0.0,CRC
Clostridiales_bacterium_CCNA10,0.004688516212791408,10,9,1,18,0.06097560975609756,0.4,46.45000000000007,0.03857371348612848,CRC
Christensenella_minuta,0.0005308983206329118,5,5,0,1,0.03048780487804878,0.1,36.62619047619047,0.03480197170635226,CRC
Alistipes_finegoldii,0.005755927130155498,2,2,0,1,0.012195121951219513,1.0,29.1595238095238,0.0,CRC
Ruminococcus_bicirculans,0.007863464044099336,1,1,0,0,0.006097560975609756,0.0,25.092857142857138,0.0,CRC
Blautia_sp_N6H1-15,0.000504884057308343,12,11,1,27,0.07317073170731708,0.4090909090909091,45.5666666666667,0.019783565591897045,CRC
Roseburia_hominis,0.0024006580968980854,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Eubacterium_ramulus,0.0021503506128554366,1,1,0,0,0.006097560975609756,0.0,4.166666666666667,0.0,CRC
Anaerotruncus_colihominis,0.0011169506609108445,9,8,1,12,0.054878048780487805,0.3333333333333333,44.45000000000004,0.050997130448122804,CRC
Coprobacter_secundus,0.0007316590042779779,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Bacteroides_pyogenes,0.0002261622635418365,18,16,2,49,0.10975609756097561,0.3202614379084967,49.5333333333334,0.02525608442550365,CRC
Eubacterium_ventriosum,0.0029231646975801315,6,6,0,9,0.03658536585365854,0.6,32.04761904761906,0.0023843487800543016,CRC
Intestinibacter_bartlettii,0.0002932446569239007,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Lachnoclostridium_sp_YL32,0.00026240524005461345,13,10,3,34,0.07926829268292683,0.4358974358974359,46.43333333333337,0.013756856875551506,CRC
Blautia_hansenii,0.0019355154515962962,8,8,0,18,0.04878048780487805,0.6428571428571429,41.24999999999997,0.0020599295175632343,CRC
Erysipelotrichaceae_bacterium_GAM147,0.00048215626963125387,1,1,0,0,0.006097560975609756,0.0,22.147619047619038,0.0,CRC
Bacteroides_helcogenes,0.00015297066988561326,2,2,0,1,0.012195121951219513,1.0,33.3440476190476,0.0,CRC
Bacteroides_coprocola,0.022041080813867145,13,13,0,34,0.07926829268292683,0.4358974358974359,46.2666666666667,0.019671478739751017,CRC
Bacteroides_zoogleoformans,8.631271747692199e-05,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Streptococcus_salivarius,0.005814428527571763,4,4,0,2,0.024390243902439025,0.3333333333333333,27.471428571428596,0.01817639705461504,CRC
Neglecta_timonensis,0.000352908111051341,2,2,0,0,0.012195121951219513,0.0,28.608333333333334,0.008436308499420682,CRC
Parvimonas_micra,0.001056358919287786,1,1,0,0,0.006097560975609756,0.0,20.53055555555552,0.0,CRC
Anaerostipes_hadrus,0.00722842988848519,2,2,0,0,0.012195121951219513,0.0,2.5,3.7408349543618135e-05,CRC
Phascolarctobacterium_succinatutens,0.010542088941578676,1,0,1,0,0.006097560975609756,0.0,1.0,0.0,CRC
Merdibacter_massiliensis,0.00027984770092999775,2,2,0,0,0.012195121951219513,0.0,31.285714285714292,0.000367446712809579,CRC
Ruminococcus_callidus,0.0016016608239214785,9,2,7,16,0.054878048780487805,0.4444444444444444,45.416666666666714,0.059423750455564105,CRC
Prevotella_copri,0.057346813551155965,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Phocea_massiliensis,0.00027624478744681883,5,5,0,4,0.03048780487804878,0.4,33.92619047619045,0.020171229522670243,CRC
Bacteroides_salanitronis,0.0007618290248704021,8,8,0,16,0.04878048780487805,0.5714285714285714,39.63571428571427,0.0034668706988796242,CRC
Clostridium_citroniae,0.00046224372776626076,20,18,2,57,0.12195121951219512,0.3,52.11666666666676,0.056567135308842637,CRC
Solobacterium_moorei,0.0007327600199105996,1,0,1,0,0.006097560975609756,0.0,1.0,0.0,CRC
Anaerobutyricum_hallii,0.004760121567476532,2,2,0,0,0.012195121951219513,0.0,2.5,3.7408349543618135e-05,CRC
Acetivibrio_ethanolgignens,0.0001892086458319159,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Odoribacter_splanchnicus,0.004568312603980023,3,2,1,0,0.01829268292682927,0.0,33.28571428571426,0.0386547586796306,CRC
Traorella_massiliensis,0.00028062944065608504,2,2,0,0,0.012195121951219513,0.0,27.884523809523813,0.007668876654096058,CRC
Peptostreptococcus_anaerobius,8.32630994347341e-05,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Anaerotignum_lactatifermentans,0.0022016505405155306,3,3,0,3,0.01829268292682927,1.0,35.30238095238095,0.0,CRC
Parabacteroides_goldsteinii,0.0012898413318323135,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Agathobaculum_desmolans,0.0003352698946902223,9,9,0,11,0.054878048780487805,0.3055555555555556,44.983333333333384,0.018263710797688223,CRC
Eggerthella_lenta,0.0015373381685688159,1,1,0,0,0.006097560975609756,0.0,30.92619047619048,0.0,CRC
Hungatella_hathewayi,0.0012889991018195303,8,8,0,18,0.04878048780487805,0.6428571428571429,43.20952380952384,0.005340634949606868,CRC
Lachnospiraceae_bacterium_Choco86,0.000997313982010411,4,4,0,6,0.024390243902439025,1.0,35.49761904761903,0.0,CRC
Veillonella_dispar,0.0016950490165306758,3,2,1,0,0.01829268292682927,0.0,28.290476190476195,0.0069261267051313824,CRC
Gemella_morbillorum,0.0004731645509676629,2,1,1,0,0.012195121951219513,0.0,31.81904761904762,0.023791710309741133,CRC
Fusobacterium_nucleatum,0.0006742494478917824,0,0,0,0,0.0,0.0,0.0,0.0,CRC
Clostridium_phoceensis,0.002354269567071034,2,1,1,0,0.012195121951219513,0.0,25.383333333333326,0.0032201301616235026,CRC
Alistipes_shahii,0.0061499103765097355,4,3,1,1,0.024390243902439025,0.16666666666666666,36.03333333333335,0.018503031864005058,CRC
Eubacterium_eligens,0.007522049447623787,0,0,0,0,0.0,0.0,0.0,0.0,CRC
