Bacterial_Species,Mean_Relative_Abundance,Total_Edges,Positive_Edges,Negative_Edges,Triangles,Degree_Centrality,Clustering_Coefficient,Harmonic_Centrality,Betweenness_Centrality,Cohort
Schaalia_odontolytica,0.0003060414898552511,3,3,0,0,0.01829268292682927,0.0,29.866269841269844,0.046610803531348194,Healthy
Bacteroides_fragilis,0.011267016680556841,2,2,0,1,0.012195121951219513,1.0,30.900000000000006,0.0,Healthy
Mediterranea_massiliensis,0.0028554348184894416,6,6,0,5,0.03658536585365854,0.3333333333333333,34.6503968253968,0.012189177255524663,Healthy
Streptococcus_mitis,0.00043306885114848627,3,3,0,2,0.01829268292682927,0.6666666666666666,21.066341991341954,0.007930570103247044,Healthy
Johnsonella_ignava,0.00011890130732035178,2,2,0,0,0.012195121951219513,0.0,24.1452380952381,0.008080203501421516,Healthy
Eubacterium_plexicaudatum,5.921128012704822e-05,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Bacteroides_faecichinchillae,0.0007024250423728343,6,6,0,6,0.03658536585365854,0.4,35.31666666666664,0.020100908385742505,Healthy
Massilioclostridium_coli,0.00028380412608591284,14,14,0,48,0.08536585365853659,0.5274725274725275,42.853571428571435,0.008869498330660818,Healthy
Ruminococcus_lactaris,0.002723941559712587,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Clostridium_scindens,0.00039369822467754295,1,1,0,0,0.006097560975609756,0.0,1.0,0.0,Healthy
Bacteroides_stercoris,0.030100952936231377,2,2,0,0,0.012195121951219513,0.0,30.769444444444456,0.0008708129368760819,Healthy
Intestinimonas_butyriciproducens,0.0010272565619668435,8,8,0,10,0.04878048780487805,0.35714285714285715,40.00357142857142,0.0842416461696237,Healthy
Clostridium_glycyrrhizinilyticum,0.0010244257556487127,7,6,1,13,0.042682926829268296,0.6190476190476191,35.59523809523807,0.008343461211543106,Healthy
Fournierella_massiliensis,0.0006378042494168268,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Bacteroides_fluxus,0.004223418713358256,10,10,0,19,0.06097560975609756,0.4222222222222222,38.5297619047619,0.012941697534029982,Healthy
Butyrivibrio_crossotus,0.00040243086949367574,5,5,0,4,0.03048780487804878,0.4,26.50476190476191,0.04634894508454287,Healthy
Bacteroides_ovatus,0.01442914827753476,6,6,0,5,0.03658536585365854,0.3333333333333333,35.374999999999986,0.013531084201678666,Healthy
Bacteroides_nordii,0.0007128116869418978,4,4,0,1,0.024390243902439025,0.16666666666666666,30.167063492063495,0.012062678580335318,Healthy
Clostridiales_bacterium_CCNA10,0.003862312522506051,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
Christensenella_minuta,0.0005626341093377326,0,0,0,0,0.0,0.0,0.0,0.0,Healthy
