SampleName,Absiella_dolichum_DSM_3991_strainDSM_3991,Acetivibrio_ethanolgignens_strainACET33324,Agathobaculum_desmolans_ATCC_43058_strainATCC_43058,Alistipes_finegoldii_DSM_17242_strainDSM_17242,Alistipes_obesi,Alistipes_putredinis_DSM_17216_strainDSM_17216,Alistipes_shahii_WAL_8301_strainWAL_8301,Anaerostipes_hadrus_strainBPB5,Anaerotignum_lactatifermentans_DSM_14214_strainDSM_14214,Anaerotruncus_colihominis_DSM_17241_strainDSM_17241,Angelakisella_massiliensis_strainMarseilleP3217,Bacteroides_barnesiae_DSM_18169__JCM_13652_strainDSM_18169,Bacteroides_caccae_strainATCC_43185,Bacteroides_caecimuris_strainI48,Bacteroides_cellulosilyticus_strainWH2,Bacteroides_coprocola_DSM_17136_strainDSM_17136,Bacteroides_coprophilus_DSM_18228__JCM_13818_strainDSM_18228,Bacteroides_dorei_CL03T12C01_strainCL03T12C01,Bacteroides_faecichinchillae_JCM_17102_strainJCM_17102,Bacteroides_fluxus_YIT_12057_strainYIT_12057,Bacteroides_fragilis_638R_strain638R,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_YCH46_strainYCH46,Bacteroides_nordii_CL02T12C05_strainCL02T12C05,Bacteroides_ovatus_V975_strainV975,Bacteroides_ovatus_strainATCC_8483,Bacteroides_pectinophilus_ATCC_43243_strainATCC_43243,Bacteroides_plebeius_DSM_17135_strainDSM_17135,Bacteroides_pyogenes_JCM_10003_strainJCM_10003,Bacteroides_salanitronis_DSM_18170_strainDSM_18170,Bacteroides_salyersiae_WAL_10018__DSM_18765__JCM_12988_strainDSM_18765,Bacteroides_stercoris_ATCC_43183_strainATCC_43183,Bacteroides_thetaiotaomicron_VPI5482_strainVPI5482,Bacteroides_thetaiotaomicron_strain7330,Bacteroides_uniformis_ATCC_8492_strainATCC_8492,Bacteroides_vulgatus_ATCC_8482_strainATCC_8482,Bacteroides_vulgatus_strainmpk,Blautia_hansenii_DSM_20583_strainDSM_20583,Blautia_obeum_ATCC_29174_strainATCC_29174,Blautia_obeum_strain2789STDY5608838,Blautia_sp_N6H115_strainKCTC_15426,Butyricicoccus_pullicaecorum_12_strain12,Butyricimonas_sp_H184_strainH184,Butyrivibrio_crossotus_DSM_2876_strainDSM_2876,Clostridiales_bacterium_CCNA10_strainCCNA10,Clostridium_bolteae_90A9_strain90A9,Clostridium_bolteae_strainATCC_BAA613,Clostridium_citroniae_WAL17108_strainWAL17108,Clostridium_glycyrrhizinilyticum_JCM_13369_strainJCM_13369,Clostridium_innocuum_2959_strain2959,Clostridium_phoceensis_strainGD3,Clostridium_scindens_ATCC_35704_strainATCC_35704,Clostridium_sporogenes_strainYHRaf325,Clostridium_symbiosum_WAL14163_strainWAL14163,Coprobacter_secundus_strain177,Coprococcus_comes_ATCC_27758_strainATCC_27758,Coprococcus_eutactus_ATCC_27759_strainATCC_27759,Dorea_formicigenerans_ATCC_27755_strainATCC_27755,Emergencia_timonensis_strainSN18,Eubacterium_eligens_ATCC_27750_strainATCC_27750,Eubacterium_hallii,Eubacterium_hallii_DSM_3353_strainDSM_3353,Eubacterium_ramulus_ATCC_29099_strainATCC_29099,Eubacterium_rectale_ATCC_33656_strainATCC_33656,Faecalibacterium_prausnitzii_strainA2165,Faecalitalea_cylindroides_T287_strainT287,Flavonifractor_plautii_strainYL31,Fournierella_massiliensis_strainAM2,Fusicatenibacter_saccharivorans_strain2789STDY5608849,Gemmiger_formicilis_strainATCC_27749,Hungatella_hathewayi_DSM_13479_strainDSM_13479,Intestinimonas_butyriciproducens_strainAF211,Lachnoclostridium_phocaeense_strainMarseilleP3177,Lachnoclostridium_sp_YL32_strainYL32,Lachnospiraceae_bacterium_Choco86_strainChoco86,Lachnospiraceae_bacterium_GAM79_strainGAM79,Lactobacillus_rogosae_strainATCC_27753,Marvinbryantia_formatexigens_DSM_14469_strainDSM_14469,Mediterranea_massiliensis_strainMarseilleP2645,Merdimonas_faecis_strainBR31,Odoribacter_splanchnicus_strainNCTC10825,Oscillibacter_sp_PEA192_strainPEA192,Parabacteroides_distasonis_ATCC_8503_strainATCC_8503,Parabacteroides_johnsonii_CL02T12C29_strainCL02T12C29,Parabacteroides_sp_CT06_strainCT06,Paraprevotella_xylaniphila_YIT_11841_strainYIT_11841,Pseudoflavonifractor_capillosus_ATCC_29799_strainATCC_29799,Roseburia_faecis_strain2789STDY5608863,Roseburia_hominis_A2183_strainA2183,Roseburia_intestinalis_L182_strainL182,Roseburia_inulinivorans_DSM_16841_strainDSM_16841,Ruminococcus_faecis_JCM_15917_strainJCM_15917,Ruminococcus_gnavus_AGR2154_strainAGR2154,Ruminococcus_lactaris_ATCC_29176_strainATCC_29176,Ruminococcus_torques_ATCC_27756_strainATCC_27756,Ruthenibacterium_lactatiformans_strain5851,Solobacterium_moorei_DSM_22971_strainDSM_22971,Subdoligranulum_variabile_DSM_15176_strainDSM_15176,Tyzzerella_nexilis_DSM_1787_strainDSM_1787
DRR127476,0.0008102565135119454,0.00029844426869969073,0.0005378769588971712,0.12445701866979599,0.0005276626349192042,0.02216039789707271,0.07344813464785228,0.0018841035012426527,0.008127893093565403,0.001801931098296638,0.005205461548952582,0.00024173459561495182,0.0006793163826580114,0.009247055257873327,0.0004696033558829812,0.022335826719569192,0.017451533698426346,0.05611622300281717,0.0004235668220173079,0.004110426922031815,0.0004277737543379438,0.0003111299023114369,8.61777830894334e-05,0.0083313958964164,0.016509318145530336,0.0165545140908386,0.002448342776899286,0.006645131259752944,0.0005574533799545715,0.0003771980661737244,0.0016776698614071465,0.0024155309033213877,0.011684694904032174,0.008520469705161564,0.043444683955238476,0.017798584251663665,0.014136719816992757,0.001198399047683066,0.004133780736080618,0.009801477267932573,0.0007364895457635951,0.0011685617190651308,0.0050128696713337105,0.0004091110801559341,0.007938586258603348,0.0022256113385679876,0.004575009956270903,0.000805023633535559,0.002365119431678593,0.000998832038763209,0.008941070629041132,0.00044843598715043053,0.000998762562098886,0.0030544636899029892,0.00029877263364882817,0.004671208461355398,9.99739268461264e-05,0.0008149134638372823,0.001664547902803441,0.01426613025196952,0.00259555161260691,0.01386063453845089,0.002016600193731469,0.04329675835345258,0.01601211053314257,0.00041232830679104623,0.007826113206216146,0.0024418465999382147,0.004094208966748217,0.004157318429839976,0.0011060684046706763,0.007435474761283411,0.0010435634447285656,0.0003277229826552032,0.002052436146680152,0.002664894230107358,0.000777333602012899,0.0003562883901413145,0.005280833631960636,0.023877532891495017,0.02402647448928823,0.01864936142184312,0.009522168837616703,0.009278443546202981,0.05593404485271429,0.010095661806369883,0.004860791029752477,0.002874158703464563,0.004428364553200798,0.0026519417737033055,0.03115110651078338,0.003076287632318101,0.08003794013625169,0.00104770896386292,0.0006437858410943637,0.01053790260576883,0.0013562762890783784,0.0017574182730339366,0.007546136230091309
DRR127478,0.0005443117478870039,0.000268426297561484,0.0013034121181932437,0.0005218564631653219,0.0002308223344535643,0.0012312002049966685,0.0046472894964967055,0.0007035187136934625,0.000396986071467546,0.0007016307665651543,0.00037790128406640407,0.0005058877494716686,0.036183843925417014,0.0077970956050921626,0.0007363988311623688,0.021249209451653282,0.0017463457324522515,0.17026648914617207,0.00035619455897726963,0.0005761156721536796,0.00041786148984229845,0.000341099960992741,0.00020422887448537136,0.020112973347045485,0.0025503329839760866,0.002560321573791014,0.0008428552608416909,0.005338232059021697,0.001177546386538149,0.0004818083720363103,0.004551847152738354,0.0022364267259554573,0.012290726269749743,0.010479735940348237,0.015974672180446653,0.04388094082659126,0.028336776656028562,0.017968454355582808,0.029810005479866515,0.023677151094086395,0.002183131994905837,0.0007226543049667818,0.0006322170015587311,6.704384795928118e-05,0.0011306801152077594,0.0016677333637651532,0.007833327922197932,0.0005768766399696283,0.002906657639369132,0.0017673277891196455,0.0007937839150438732,0.0009094952877394784,0.0012495250958840644,0.004207038783448772,0.0006541656058170424,0.003070085997144621,7.374529623589205e-05,0.0021863992557160624,0.0008323082143003624,0.0006583407904304228,0.013390044447783607,0.011096795676062173,0.005057847912740368,0.0012086978675241787,0.006350645296647248,0.0007725024786584608,0.004701039441091481,0.0003085826825664066,0.0025439900754237843,0.0004641479944689458,0.0013125233813705143,0.0001465706130631523,0.0003306227243708394,0.0010990208081973923,0.005042782230387999,0.003468790819422592,8.921522764824766e-05,0.00017035155059443304,0.0013800280223758613,0.0003199987698334329,0.0021718164688506376,0.0023130979923999067,0.0034832669720018788,0.008845197777342818,0.005923072240673361,0.00030761804904333114,0.0004463841763189805,0.001356629210492055,0.0005540227997524397,0.0010927050957743312,0.0012267680081680175,0.14654681765079253,0.08989578972517201,0.0032014032980259384,0.015334476425266535,0.0012761448434781572,0.00017350136009727633,0.0006747706534159554,0.14822084721085924
DRR127481,0.00029934100090719235,4.9973587284948575e-05,0.00030704157748004407,0.006477246403100054,0.006542312641579171,0.03908054451055241,0.02109021018112315,0.03952687782655349,0.003626105997002762,0.00239874086481779,0.002000578460287312,0.00032714109283586685,0.039327453967564,0.000893685113383453,0.14055673269800145,0.030773326085035347,0.007361722167762929,0.0657399508239341,0.005069959198466404,0.007172179048244215,0.001013052224208677,0.0003273025489980847,0.00057196309933462,0.0008025731617157978,8.178961692315946e-05,7.965072939581892e-05,0.00024745695665986814,0.026248092597832194,0.0004953269820152568,0.0033700431719119444,0.07244233455953154,0.0023340290401266577,0.008768316686437372,0.009074533164859814,0.09265184563306698,0.0638128200221376,0.05709265004279413,0.000720967892066094,0.0010183669418103454,0.016099905432174464,0.0002839163278336627,0.00034347796015242373,0.002432541699564802,6.309161292513775e-05,0.010320583397845431,0.001450324475720519,0.001618798710824773,0.0003083272840690151,0.0012476243786592477,0.00026399807473137966,0.00762513933707873,0.0009675404134312627,0.0019368264880142887,0.0019900737505245463,8.453710367823434e-05,0.0007253240336679452,5.329106003978701e-05,0.0006086911194448781,0.0015015915289401415,0.014255205130151943,0.004298492628465254,0.000532748947857145,0.0012576722086834412,0.0005723430124721701,0.012029003871025781,0.0028877281625925917,0.005442095146345031,0.0012937871037143785,0.001277931153157738,0.009778382820152216,0.00032126474934631843,0.0016495772175712845,0.00039558266637147325,0.0002421671276063252,0.0004195796211386034,0.0012906779708781113,0.0008898360133949361,6.904771916679027e-05,0.0010887307777147819,0.0004621344563488046,0.0048923379331434706,0.012870464870724598,0.029941248896932185,0.006391876342462279,0.036116113141763335,0.014615777161450965,0.0012275393745385058,0.0005553814500754825,0.003800944247462863,0.0007410522058595286,0.00349368489667034,0.0009916997910918222,0.008432142646546155,0.00021907272190069705,0.00014595067753710603,0.0027508737956129393,5.885586244891933e-05,0.0008894748649653438,0.001711678107595534
DRR127485,0.0016604696956105667,0.0003479834778732158,0.0007055482860694105,0.0054678163698529975,0.005705488293222345,0.09444114941463007,0.01626763712894301,0.010891912587115329,0.000920219042932148,0.0015427451413635705,0.0026886540122406126,0.0006598072170319644,0.011711161837461745,0.005160652196130531,0.000886402169042161,0.014338296659892348,0.010897997344182528,0.0029921388939494974,0.0008646891952594756,0.007554119044346006,0.00045866327521552495,0.00041279393250128675,0.0004704473841835719,0.005634521229679135,0.009761205224437427,0.00978823964021979,0.0038324508567895736,0.022216264725783343,0.0003320167834812485,0.0006928584003000585,0.0016049929248906157,0.024394944540329474,0.012655926849431915,0.004884499258080517,0.050027013477651185,0.031191945883293614,0.035392756812210116,0.0007087921864897071,0.007742057900165656,0.006052931771249207,0.0004539203593758038,0.0004580703894988714,0.002941475864389899,0.002967615263033771,0.008350656245986174,0.0006874590090248388,0.00017474128306170232,0.0002598869029447648,0.0008982927448937026,0.000744291205281702,0.001128957908713018,0.0002594815196932255,0.006662687987639725,0.0007362329695597222,0.00043828770446507215,0.011021988363651586,0.022667593525695327,0.00716064577774551,0.0005226691913440498,0.05705519672473957,0.0013387674003293183,0.0050777007742411,0.0037416796023734427,0.07666949671660682,0.04993047066075672,0.0011830552811213932,0.0006017384280149333,0.0013768327667263653,0.006790810927210131,0.026882113362748424,0.0009058002335513686,0.0038780214928684645,0.0005419893751948898,6.092949572147959e-05,0.001565367510506957,0.05244137510345986,0.003958349094272756,0.00024862695099476563,0.0018573346355287089,0.00037109239189875087,0.006151935148865306,0.00406550625396515,0.005940345096163712,0.0158665049622147,0.003263585229750665,0.010622368668834023,0.0023285623537169157,0.02997898679278808,0.015528164983825074,0.0388362751138084,0.02164148357446334,0.012059334826172722,0.029650613116872893,0.0009706741404354156,0.0026494906304600206,0.0022626764951662027,0.001035163878888487,0.0041249090677118495,0.004051505457499793
DRR127491,0.00048623720522498977,0.0002980047483320127,0.0010364541627301107,0.0004973296007581815,0.0002571196364517256,0.0035126262966332414,0.0011657613667519287,0.034056253043220686,0.00024224104599408463,0.00043992937243027383,0.00024184500724106994,2.8963491047836745e-05,0.006012041480538159,0.002025404427781436,0.00023649160336233259,0.007590541919075576,0.0025224040133151296,0.04309482791560279,0.00014583015724973963,0.00032435579692214494,0.002646980138058906,0.0010796477153113728,0.0032716349773457406,0.00039577409834853634,0.004563625273762524,0.004605008179723622,0.0030605487276046325,0.0032541831351718263,0.00033561345693415974,0.000502613036176963,0.0026644454911830665,0.00220220900808201,0.0013391448574815007,0.0018928155516225486,0.019821739404685845,0.014978498887069718,0.015424986950150332,0.0016304234496542804,0.007873499030207858,0.05121574838335165,0.0009328499142265526,0.00028227283343811857,0.0006917327862501728,0.001518659689694185,0.0024343472111226262,0.0003428216226792998,9.833596405315275e-05,0.00011410320327243688,0.0012276943561722676,0.00016256230971705394,0.0011855059868025168,0.00012700868058473466,0.01944066173677279,0.0006478317092671066,0.0010391415149469117,0.007145175845896206,0.0006935811521961883,0.011529492626500673,0.0006282586733046033,0.002677950102889324,0.008430533648628608,0.002270458933169924,0.022297246914858123,0.18879953829125587,0.06978773573932566,0.0004843981888142714,0.0007275851314982626,0.0003810281214771982,0.08252525011272721,0.04763848523872299,0.00039898551201625565,0.00024423076971415907,0.0004376177887830073,0.00011609796095180402,0.0009975153322907013,0.006270152273467599,0.03640402806008397,0.0001814841664403951,0.00029891485806008696,0.00014839416578059115,0.0006121778458194638,0.0005592390693800968,0.0007942125476138043,0.0031475503480689775,0.0029618053846833022,5.347087337897135e-05,0.0004366473038404456,0.04099888212937418,0.0019260389952499997,0.003781435191608974,0.10006876438175041,0.02860752719104268,0.030677716464058594,0.005964639091850487,0.0042324847603391405,0.0004314880502395206,0.0001935730374858971,0.0014311533014078207,0.0043877228623630405
DRR127507,0.00032754670172520405,0.00018073765070802,0.0003696258166900724,0.0006090438613099545,2.1767318198767282e-05,0.0005669784487863494,0.0004883591691828057,0.01296591313593902,0.00019377588606510086,0.00037994914668102874,0.00013331356328244502,0.00020777103809513367,0.0007081906053092564,0.013510275060614826,9.054039604765397e-05,0.02908077237560584,0.002631496433168628,0.009486751338326627,0.0001568741592796769,0.0008618753123425928,0.03234126176906202,0.032288556641697955,0.031869388234408096,0.00100567048426624,0.07854951334014315,0.07876173511706067,0.0015220717162736095,0.0533749887250447,0.0002549660552674382,9.015096979975416e-05,0.0026010814444379074,0.007110771262808686,0.05001941781728229,0.03899832885139818,0.006198741169890643,0.06046034960656378,0.04519667060781875,0.0003201032168480504,0.005902878408075291,0.006809314716368352,0.000760548736169021,7.919248827179758e-05,0.0007123370329227206,0.00037464130046322846,0.0020980596076581285,0.0003544684013944343,0.0016436944826117735,0.00029318584529472306,0.0005100338169861901,0.00010781306144340603,0.00037441295159764944,0.0005062061403976332,0.0029588524896062645,0.00048683558931104644,0.00012369284076076505,0.0024872772078716014,0.00032088466171050834,0.005754562548237136,0.00032171685360298446,0.0014647563431635629,0.0006670852500056422,0.00035590437790225114,0.0026702136847588337,0.0012252265332413387,0.1302976013978301,0.0003834281951201997,0.00044459061082749305,9.56410907455588e-05,0.007881722296756828,0.002941667258447632,0.00039474091444262555,0.00033520033868723653,0.00014285811389092316,9.900316916721993e-05,0.0007548295122000052,0.0032866295911830636,0.005954142478563002,0.00021000648997577384,0.0025254657910063413,0.00013982159883661621,0.00011588106275196536,0.00021660001938050182,0.001233807744210843,0.0003623109850482987,0.0013736990971328533,0.000432449190235861,0.0001877812216567674,0.0010195404036238312,0.0004713969606228913,0.0014043597841161693,0.009054010184950879,0.14132819636935182,0.027748632285613486,0.001088790307065785,0.0003115436303023937,0.0025273281862269194,0.009571828559365468,0.000377929099580471,0.011987446243825034
DRR127509,0.006570434865577837,0.0001139092093167488,0.0004141659477050113,0.002507604009568589,0.00039042900212531633,0.0021776518300308197,0.009477500050739444,0.01905518238226934,0.025057654673704726,0.001921192900670355,0.001700978034360881,0.0005728974883637999,0.0004284950395872661,0.00691264720930296,0.0009553058482471066,0.17359531832183617,0.03472660081656182,0.010120667013746502,0.0002834101519782438,0.004603685536800904,0.0009476739288127938,0.00015213003518271223,0.0004829923383146935,0.00011510225988135996,0.004591028014850027,0.004605955788702881,0.0007985152487773865,0.013629409878982519,0.0001561430309562439,0.0019438547992274588,0.0015115217362368838,0.05108688286705895,0.004978532599665104,0.005375676801091778,0.003906636098274392,0.12708263870180686,0.07835633147987171,0.03225817391292029,0.003622881903980682,0.055752496456546306,0.0007416478911476481,0.0005786832448139281,0.0008693271631650686,0.0002149491851619399,0.015401598696366372,0.0038986270565437046,0.003635490363755254,0.0008014036489662918,0.004379514530367303,0.0005055693652816719,0.0021243874518412924,0.00180235451656677,0.006290451394371193,0.0013066113426375978,0.0001089719983616374,0.0013786999107834527,0.00017632646138054226,0.0011275062353457333,0.0010620919513332125,0.0014730462250049532,0.0015376079040342453,0.010120044843384347,0.0014043531942958848,0.025372614302499895,0.0009213821857572407,0.0009020424050247772,0.015472571970882344,0.0026524854135374417,0.020833318466360058,0.014541871079270264,0.0006308632686970158,0.0006412397765221823,0.0005118034964578051,0.00015586635066792282,0.006305504673824971,0.0028577005949648846,0.0004971402380592072,7.805071227848378e-05,0.0033097087451291656,0.005124321853517533,0.006303831694816046,0.009524577955493302,0.005215201783552526,0.007986572226830283,0.011808145693082518,0.00022855186357703886,0.0007633763035150109,0.0009942545480738113,0.0039744958011992135,0.0016206727287524103,0.03546099077265571,0.015232956985155637,0.022151747769297146,0.0006012053073714171,0.014343489688992139,0.0011247953959510899,0.00015650743278704368,0.0006323774673315898,0.007188190259570089
DRR127514,0.00033000722677851676,0.0002574464496004835,0.00031289149361030723,0.0020649134540150177,0.00012373514938980042,0.0006903889026641818,0.003126315305587386,0.02521757178120907,0.0021965802830355534,0.0009636638792124392,0.00022652515308197127,0.0003707517648088505,0.000704837009968222,0.004942311931150143,0.007345804126135775,0.02511696996644939,0.004573879051665751,0.021621136234025982,0.0027766834214117265,0.009044357391533784,0.0003413356326474367,0.00014037623975494764,0.00029303256753793617,0.00027611453382881236,0.0061895776634846855,0.006263565704500392,0.0015259793807631105,0.016577739523138967,0.00025647936413372507,0.0006023274145054371,0.003960588263268534,0.003753970281257563,0.007875899521019273,0.00745576592036506,0.009760685205104282,0.1686327781975297,0.17623836592876,0.0008818437725151599,0.00543870412305942,0.024238948815617237,0.0016649528899620879,0.000287650888562667,0.0011023919308494742,0.00024262960546445227,0.007476958899195811,0.003570080888709669,0.00029376387524074625,0.0013464720667397453,0.003173826100130601,0.0013268225627534294,0.0004206120083153213,0.00024019518731407434,0.014324809858182934,0.0011510028498821925,0.00015562494740585446,0.0018121538161563308,0.0005318658060812191,0.0019108092802266167,0.00012499073853012302,0.00822920785500034,0.004625669485861966,0.03043891972963225,0.0009987552932591093,0.001843215643200904,0.026649919537641568,0.0008863382146845952,0.008953919381140958,0.00031616020176293064,0.007657003717041379,0.0026702489085029864,0.0005921005442914005,0.0033335924650992194,0.0016922590077761363,0.0005538578594278991,0.0018166008259439417,0.0020953911069016206,0.00024209600899037772,4.19032485540375e-05,0.0021833554889367063,0.010093292951286317,0.00028880856529314914,0.005716345340782117,0.009722583981133478,0.012792163266411331,0.019847638809161242,0.00031668801020267234,0.00031906513679467443,0.0014663919310763257,0.002254149425843685,0.1040458274588766,0.002723704641203576,0.002176787327223659,0.06771955896262363,0.0015757233672410262,0.04684450861032258,0.0024128136193134683,0.003166522744502419,0.0010558000657024363,0.00577264903352613
DRR127515,0.0007554974958728718,0.0002894566517482009,0.0011791140135676678,0.029125379073435893,0.01621481216464522,0.060626921744711994,0.008976646739859331,0.019801106758471437,0.004505667321867435,0.0030864271183403866,0.007197387798422498,0.0006969233953592006,0.00023718199023669263,0.002904971630934849,0.042762938801712225,0.0059481830326558694,0.0015383778199997858,0.00609444381827227,0.00034079195937830993,0.003399363094022071,0.0015255029210382376,0.0010845599801873555,0.0011642542342539632,0.0019855864896998693,0.006301147918541921,0.0063216673923045105,0.00143762160516274,0.003768353151586415,0.00012368181722158174,0.00041967802763674423,0.0006504787804038008,0.0025453040693842097,0.01056706283611796,0.007376051784202856,0.01373875425298419,0.02483942935315887,0.024235595532481845,0.0013796439001211118,0.08592237295741136,0.04591489124287479,0.005603856345037468,0.0012201933147745372,0.0039010064248621293,0.00043186782471616955,0.009514356702988168,0.0011067685127285783,0.0005768072516035936,0.00032815656978674905,0.002611184043591831,0.0002151923211420486,0.0039484157644867745,0.0005606052992495253,0.0005565548889781294,0.0006272596868961831,0.0027337578573293493,0.015908535347291364,0.0006046409764931919,0.005071126315892133,0.0012589643990613118,0.015205534451665828,0.011628602378166906,0.001714346209505879,0.0028914421322809606,0.02220062924856753,0.03907881801692591,0.016091617978468788,0.006708593598615755,0.00500344758770655,0.053525002911022836,0.025661693715337778,0.0006923768095533149,0.014608950754351202,0.001768197672508834,0.0001482574369630861,0.003028290574861105,0.013824893747736076,0.00039677988772464275,0.00013976582998191395,0.0013028015252483209,0.0036921311787168937,0.00598186166825,0.01843505661985335,0.007998159375835817,0.008707820003325767,0.007569439777113039,9.288729517663175e-05,0.006670358202500231,0.0019278192164181099,0.003681032609779244,0.003882190569429985,0.030051668415370075,0.0026327897557854966,0.003412408123737792,0.0013091862159773171,0.11788899969268064,0.017196382048646302,0.0002006732511619882,0.0031735419102754845,0.00611307108557497
DRR127517,0.0018674423109180595,0.00030085313461732576,0.0002940894289350125,0.0041145639532669,0.0028088977682806044,0.0015903753938926438,0.002650581129899223,0.00638143009295914,0.0006089069080934077,0.0034331063649860535,0.0021583444048128885,0.0002975133757720074,0.00037690616691783333,0.0044031887021755076,0.014799608224136646,0.0311859046434209,0.005298773620006886,0.1267333952984222,0.0008740562960387707,0.0031061572665047926,0.00014535068263878703,0.00031236159958499666,0.00022347574247236367,0.00026258454765880546,0.007749993614649799,0.007770378224571568,0.002373982472113596,0.08733014701022256,9.093624808381262e-05,0.0005527698890831629,0.0008394165076747981,0.042222344679696086,0.014430028092848818,0.015104201040410568,0.09675777955313894,0.0062437995595165125,0.007460348768419594,0.0060177659251055456,0.002894612738845008,0.009089750053607262,0.000896300767105349,0.00018609507050505673,0.0008365683235020348,0.0020869285112445754,0.003489572363117691,0.0004797553590805201,0.00043089632677654295,0.00039344845393505124,0.0013510530374157004,0.00035212534571853085,0.007860109777777615,0.00018724932652839236,0.006052936284347038,0.003259704072859688,0.00012694013488303172,0.007661404756364966,0.00023894553007479123,0.005983553832926384,0.0005547860311099361,0.09623190203855751,0.0006492498333828595,0.0017124406010754745,0.006687228039416708,0.04427036318048311,0.038219261345995376,0.002992637559380644,0.003149112188093115,0.0009132003205295235,0.018070131691965245,0.03325588548105646,0.0007010497580961546,0.0016028327937884516,0.00011001521993023639,0.0001376083448559422,0.000591308180502563,0.051575864476787636,0.0010186531541403006,0.00012731896829196697,0.0035309600077826813,0.0005346647707279668,0.0037806236652899437,0.004010502594581108,0.0032220847386104003,0.01831980792381655,0.0044903712511569,0.00011871959899374713,0.0005536874007055883,0.001798173288132463,0.009987184888867963,0.003545318395389696,0.00495494083834661,0.042085870828788015,0.006139915242788634,0.0006789866945098818,0.004222733838965678,0.007605861481460139,0.0005419346734868993,0.0011477512994246043,0.01312934866217291
