Species,Healthy_Median,Healthy_Distribution,CRC_Median,CRC_Distribution,Test,Test_Statistic,P_Value,Correction_Performed,Corrected_Pvalue,Reject
Parvimonas_micra,2.9913407615105356,Normally Distributed,10.527700475392045,Not Normally Distributed,Mann-Whitney U Test,2888.0,2.2770127524122547e-12,fdr_bh,3.0967373432806665e-09,True
Peptostreptococcus_stomatis,-2.5760037146021997,Normally Distributed,10.290050405500345,Not Normally Distributed,Mann-Whitney U Test,3145.0,6.634730344601551e-11,fdr_bh,4.511616634329055e-08,True
Gemella_morbillorum,-2.686774730169615,Normally Distributed,9.731965005733933,Not Normally Distributed,Mann-Whitney U Test,3178.0,1.005848538423732e-10,fdr_bh,4.559846707520918e-08,True
Fusobacterium_nucleatum,-3.113394061386254,Not Normally Distributed,9.405303965040854,Not Normally Distributed,Mann-Whitney U Test,3465.0,3.1909887753086963e-09,fdr_bh,1.0849361836049567e-06,True
Acetanaerobacterium_elongatum,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8614.0,0.00011938650686425521,fdr_bh,0.0011365545635550933,True
Kosakonia_radicincitans,-3.2188942248307075,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8534.0,0.00021939009082429993,fdr_bh,0.0011365545635550933,True
Kosakonia_sacchari,-3.218692010395868,Not Normally Distributed,-3.5697487626675315,Not Normally Distributed,Mann-Whitney U Test,8599.0,0.00013403803280137813,fdr_bh,0.0011365545635550933,True
Kosakonia_sp_CCTCC_M2018092,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8492.0,0.000299334359536056,fdr_bh,0.0011365545635550933,True
Lachnospira_multipara,-2.7752677875142204,Not Normally Distributed,-3.3548604019003587,Not Normally Distributed,Mann-Whitney U Test,8694.0,6.355952418356219e-05,fdr_bh,0.0011365545635550933,True
Lactobacillus_acidophilus,-3.2375871806589256,Not Normally Distributed,-3.5697487626675315,Normally Distributed,Mann-Whitney U Test,8494.0,0.0002949783028160823,fdr_bh,0.0011365545635550933,True
