,Faecalitalea_cylindroides,Parabacteroides_sp_CT06,Bacteroides_coprocola,Faecalicatena_contorta,Parvimonas_micra,Dorea_longicatena,Eubacterium_ramulus,Fusobacterium_nucleatum,Haemophilus_parainfluenzae,Butyricimonas_faecalis,Neglecta_timonensis,Anaerostipes_hadrus,Blautia_hansenii,Bacteroides_caecimuris,Roseburia_faecis,Bacteroides_fragilis,Collinsella_aerofaciens,Traorella_massiliensis,Clostridiales_bacterium_CCNA10,Ruthenibacterium_lactatiformans,Holdemania_massiliensis,Peptostreptococcus_anaerobius,Granulicatella_adiacens,Gemella_morbillorum,Bacteroides_plebeius,Coprobacter_fastidiosus,Lachnoanaerobaculum_saburreum,Ruminococcus_callidus,Blautia_hydrogenotrophica,Odoribacter_splanchnicus,Solobacterium_moorei,Bacteroides_stercoris,Clostridioides_difficile,Lachnoclostridium_sp_YL32,Clostridium_citroniae,Mogibacterium_diversum,Negativibacillus_massiliensis,Alistipes_senegalensis,Ruminococcus_gnavus,Prevotellamassilia_timonensis,Massilioclostridium_coli,Sellimonas_intestinalis,Bacteroides_caccae,Eggerthella_lenta,Prevotella_stercorea,Angelakisella_massiliensis,Bacteroides_heparinolyticus,Eubacterium_ventriosum,Bacteroides_salyersiae,Blautia_obeum,Ruminococcus_faecis,Streptococcus_salivarius,Bacteroides_barnesiae,Dialister_pneumosintes,Blautia_schinkii,Streptococcus_sp_oral_taxon_431,Faecalibacterium_prausnitzii,Butyricicoccus_pullicaecorum,Johnsonella_ignava,Merdimonas_faecis,Clostridium_symbiosum,Streptococcus_anginosus,Agathobaculum_desmolans,Monoglobus_pectinilyticus,Veillonella_dispar,Mordavella_sp_Marseille-P3756,Gemmiger_formicilis,Anaerobutyricum_hallii,Paraprevotella_xylaniphila,Anaerotignum_neopropionicum,Barnesiella_intestinihominis,Hungatella_hathewayi,Tyzzerella_nexilis,Flavonifractor_plautii,Ruminococcus_bicirculans,Clostridium_bolteae,Streptococcus_mitis,Lactobacillus_rogosae,Fournierella_massiliensis,Ruminococcus_torques,Erysipelotrichaceae_bacterium_GAM147,Bacteroides_pectinophilus,Anaerotruncus_colihominis,Merdibacter_massiliensis,Fusicatenibacter_saccharivorans,Lactonifactor_longoviformis,Culturomica_massiliensis,Clostridium_sporogenes,Phascolarctobacterium_succinatutens,Bacteroides_faecichinchillae,Eubacterium_rectale,Intestinibacter_bartlettii,Clostridium_leptum,Prevotella_copri,Peptostreptococcus_stomatis,Clostridium_phoceensis,Blautia_sp_N6H1-15,Streptococcus_sp_A12,Blautia_producta,Dorea_formicigenerans,Bifidobacterium_catenulatum,Acetivibrio_ethanolgignens,Alistipes_shahii,Alistipes_finegoldii,Clostridium_methylpentosum,Bacteroides_fluxus,Marvinbryantia_formatexigens,Roseburia_intestinalis,Bacteroides_zoogleoformans,Parabacteroides_johnsonii,Hespellia_stercorisuis,Bacteroides_uniformis,bacterium_LF-3,Clostridium_sp_SY8519,Eubacterium_eligens,Streptococcus_parasanguinis,Roseburia_hominis,Alistipes_obesi,Intestinibacillus_massiliensis,Ruminococcus_lactaris,Lachnospiraceae_bacterium_Choco86,Provencibacterium_massiliense,Intestinimonas_butyriciproducens,Clostridium_saccharogumia,Alistipes_putredinis,Coprobacter_secundus,Streptococcus_sp_FDAARGOS_192,Roseburia_inulinivorans,Bacteroides_dorei,Lachnoclostridium_phocaeense,Odoribacter_laneus,Coprococcus_eutactus,Bacteroides_pyogenes,Butyrivibrio_crossotus,Bariatricus_massiliensis,Parabacteroides_distasonis,Clostridium_scindens,Pseudoflavonifractor_capillosus,Clostridium_saccharolyticum,Eubacterium_plexicaudatum,Clostridium_innocuum,Barnesiella_viscericola,Absiella_dolichum,Holdemanella_biformis,Bacteroides_ovatus,Christensenella_minuta,Anaerotignum_lactatifermentans,Oscillibacter_sp_PEA192,Schaalia_odontolytica,Phocea_massiliensis,Subdoligranulum_variabile,Emergencia_timonensis,Clostridium_asparagiforme,Coprococcus_comes,Bacteroides_coprophilus,Bacteroides_salanitronis,Bacteroides_nordii,Mediterranea_massiliensis,Bacteroides_helcogenes,Parabacteroides_goldsteinii,Lachnospiraceae_bacterium_GAM79,Bacteroides_thetaiotaomicron,Bacteroides_cellulosilyticus,Clostridium_glycyrrhizinilyticum,Bacteroides_vulgatus
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002517501077936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014724278623171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009279218601279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132965953784567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009581169808972,0,0,0,0,0,0.08814680227245,0,0,0,0,0,0,0,0,0,0.021486308266727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012742722597335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027994521319897,0.02739021991246,0,0.037154790990066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020669762199591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019868167462288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055162544857486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106711434981978,0.143438294166737,0,0.013659027309966,0,0,0,0.030806799640321,0,0,0.008057288665787
4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132563343173521,0,0,0.1010562005764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006062161758056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-1,0,0,0.007256077407681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005984922663633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125774379472669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058620226939926,0,0,0,0,0,0,0,0,0,0,0,0.030764760687383,0,0,0,0,0,0,0.088932597951099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037588977375801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003773466576731,0,0,0,0,0,0,0,0,0.007493977075734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027682188865378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.007256077407681,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.007053502326877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146206461365787,0,0,0,0,0,0,0,0,-0.002374724369526,0,0,0,0,-0.006882837548706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095452230859166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002957381653289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
