Bacterial_Species,Prevalence,Mean_Relative_Abundance,Cohort
Abiotrophia_defectiva,0.3595505617977528,7.143367088661728e-05,Healthy
Absiella_dolichum,0.9943820224719101,0.00054331511265919,Healthy
Acetanaerobacterium_elongatum,0.016853932584269662,1.3932573258937424e-05,Healthy
Acetitomaculum_ruminis,0.11235955056179775,1.844147940305766e-05,Healthy
Acetivibrio_ethanolgignens,0.9887640449438202,0.0002639386986192826,Healthy
Acholeplasma_brassicae,0.011235955056179775,1.1801932610410625e-05,Healthy
Acidaminococcus_fermentans,0.30337078651685395,0.0016911281637511288,Healthy
Acidaminococcus_intestini,0.5168539325842697,0.007726665666256343,Healthy
Acidaminococcus_timonensis,0.4438202247191011,0.00014370070953444714,Healthy
Acidovorax_delafieldii,0.0056179775280898875,3.185342943302449e-05,Healthy
Acidovorax_soli,0.0056179775280898875,1.0574260239937981e-05,Healthy
Acinetobacter_baumannii,0.0056179775280898875,7.654069586459858e-05,Healthy
Acinetobacter_haemolyticus,0.0056179775280898875,6.524297398488779e-05,Healthy
Acinetobacter_indicus,0.0056179775280898875,2.0789920584224797e-05,Healthy
Acinetobacter_johnsonii,0.0056179775280898875,0.00011082781068871568,Healthy
Acinetobacter_lwoffii,0.0056179775280898875,3.9727330664549535e-05,Healthy
Acinetobacter_sp_WCHA55,0.0056179775280898875,1.1009249873232967e-05,Healthy
Acinetobacter_tandoii,0.0056179775280898875,0.0005589043066014638,Healthy
Acinetobacter_ursingii,0.011235955056179775,1.1811393529418914e-05,Healthy
Actinobacillus_pleuropneumoniae,0.02247191011235955,1.6409844179107587e-05,Healthy
Actinobacillus_porcitonsillarum,0.0056179775280898875,3.323000904235938e-05,Healthy
Actinomyces_dentalis,0.06741573033707865,2.8990119543770596e-05,Healthy
Actinomyces_gerencseriae,0.0449438202247191,4.994885502125517e-05,Healthy
Actinomyces_graevenitzii,0.4550561797752809,0.00010716188558643215,Healthy
Actinomyces_hongkongensis,0.12921348314606743,4.2304664535657696e-05,Healthy
Actinomyces_israelii,0.02247191011235955,5.645831278732728e-05,Healthy
Actinomyces_johnsonii,0.15730337078651685,5.393634549482565e-05,Healthy
Actinomyces_massiliensis,0.11797752808988764,2.8836287464788867e-05,Healthy
Actinomyces_oris,0.4550561797752809,8.878081047398626e-05,Healthy
Actinomyces_pacaensis,0.8820224719101124,7.393725874598152e-05,Healthy
Actinomyces_sp_oral_taxon_414,0.016853932584269662,1.671783776066891e-05,Healthy
Actinomyces_urinae,0.0056179775280898875,2.1092967023667153e-05,Healthy
Actinomyces_viscosus,0.10112359550561797,4.85232567964818e-05,Healthy
Actinotignum_schaalii,0.016853932584269662,1.323681030079293e-05,Healthy
Acutalibacter_muris,0.5337078651685393,2.6621411030528618e-05,Healthy
Adlercreutzia_equolifaciens,0.651685393258427,0.000920542671962196,Healthy
Aerococcus_christensenii,0.0056179775280898875,1.1356579203170864e-05,Healthy
Aerococcus_urinae,0.0056179775280898875,1.810603470382021e-05,Healthy
Aerococcus_viridans,0.0056179775280898875,1.4414684697780139e-05,Healthy
Aeromonas_caviae,0.011235955056179775,0.00026233624621375186,Healthy
Aeromonas_hydrophila,0.0056179775280898875,4.9443623227855574e-05,Healthy
Aeromonas_rivipollensis,0.0056179775280898875,2.1798153639200405e-05,Healthy
Aeromonas_salmonicida,0.011235955056179775,4.5618076463100347e-05,Healthy
Aeromonas_sp_ASNIH1,0.011235955056179775,4.859530060803211e-05,Healthy
Aeromonas_sp_ASNIH2,0.011235955056179775,4.2956181301652036e-05,Healthy
Aeromonas_sp_ASNIH3,0.011235955056179775,0.00011980655808935797,Healthy
Aeromonas_sp_ASNIH5,0.011235955056179775,4.004356130462206e-05,Healthy
Aeromonas_sp_ASNIH7,0.016853932584269662,3.1025946469082994e-05,Healthy
Aeromonas_veronii,0.0056179775280898875,1.5780565474645842e-05,Healthy
