,Features,Accuracy
0,"Absiella_dolichum                  0.001261
Acetivibrio_ethanolgignens         0.006136
Agathobaculum_desmolans            0.001154
Alistipes_finegoldii               0.000000
Alistipes_obesi                    0.001051
Alistipes_putredinis               0.000000
Alistipes_senegalensis             0.000000
Alistipes_shahii                   0.000202
Anaerobutyricum_hallii             0.000237
Anaerostipes_hadrus                0.001402
Anaerotignum_lactatifermentans     0.001284
Anaerotignum_neopropionicum        0.043668
Anaerotruncus_colihominis          0.000448
Angelakisella_massiliensis         0.000000
Bacteroides_barnesiae              0.000000
Bacteroides_caccae                 0.000248
Bacteroides_caecimuris             0.002244
Bacteroides_cellulosilyticus       0.001475
Bacteroides_coprocola              0.000258
Bacteroides_coprophilus            0.000000
Bacteroides_dorei                  0.000000
Bacteroides_faecichinchillae       0.001797
Bacteroides_fluxus                 0.000588
Bacteroides_fragilis               0.000273
Bacteroides_helcogenes             0.000000
Bacteroides_heparinolyticus        0.000482
Bacteroides_nordii                 0.000758
Bacteroides_ovatus                 0.000000
Bacteroides_pectinophilus          0.006521
Bacteroides_plebeius               0.000321
                                     ...   
Prevotella_stercorea               0.000348
Prevotellamassilia_timonensis      0.001068
Provencibacterium_massiliense      0.001543
Pseudoflavonifractor_capillosus    0.000693
Roseburia_faecis                   0.010473
Roseburia_hominis                  0.007988
Roseburia_intestinalis             0.000000
Roseburia_inulinivorans            0.002217
Ruminococcus_bicirculans           0.047726
Ruminococcus_callidus              0.000084
Ruminococcus_faecis                0.000940
Ruminococcus_gnavus                0.000000
Ruminococcus_lactaris              0.010068
Ruminococcus_torques               0.000540
Ruthenibacterium_lactatiformans    0.000922
Schaalia_odontolytica              0.000084
Sellimonas_intestinalis            0.001100
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.083911
Streptococcus_parasanguinis        0.000546
Streptococcus_salivarius           0.000276
Streptococcus_sp_A12               0.000652
Streptococcus_sp_FDAARGOS_192      0.000552
Streptococcus_sp_oral_taxon_431    0.049894
Subdoligranulum_variabile          0.000000
Traorella_massiliensis             0.000292
Tyzzerella_nexilis                 0.002539
Veillonella_dispar                 0.001052
bacterium_LF-3                     0.000000
Random                             0.000000
Length: 159, dtype: float64",1.0
1,"Absiella_dolichum                  0.000000
Acetivibrio_ethanolgignens         0.006936
Agathobaculum_desmolans            0.001356
Alistipes_finegoldii               0.000405
Alistipes_obesi                    0.001008
Alistipes_putredinis               0.000588
Alistipes_senegalensis             0.000000
Alistipes_shahii                   0.000270
Anaerobutyricum_hallii             0.001455
Anaerostipes_hadrus                0.000346
Anaerotignum_lactatifermentans     0.001315
Anaerotignum_neopropionicum        0.048940
Anaerotruncus_colihominis          0.000000
Angelakisella_massiliensis         0.002921
Bacteroides_barnesiae              0.000000
Bacteroides_caccae                 0.000635
Bacteroides_caecimuris             0.001721
Bacteroides_cellulosilyticus       0.000202
Bacteroides_coprocola              0.001284
Bacteroides_coprophilus            0.001165
Bacteroides_dorei                  0.000676
Bacteroides_faecichinchillae       0.000768
Bacteroides_fluxus                 0.004714
Bacteroides_fragilis               0.001836
Bacteroides_helcogenes             0.001281
Bacteroides_heparinolyticus        0.000000
Bacteroides_nordii                 0.000037
Bacteroides_ovatus                 0.001120
Bacteroides_pectinophilus          0.005801
Bacteroides_plebeius               0.001992
                                     ...   
Prevotella_stercorea               0.000000
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.000625
Pseudoflavonifractor_capillosus    0.000250
Roseburia_faecis                   0.007216
Roseburia_hominis                  0.005221
Roseburia_intestinalis             0.007105
Roseburia_inulinivorans            0.000465
Ruminococcus_bicirculans           0.102173
Ruminococcus_callidus              0.000873
Ruminococcus_faecis                0.000000
Ruminococcus_gnavus                0.000420
Ruminococcus_lactaris              0.011333
Ruminococcus_torques               0.000264
Ruthenibacterium_lactatiformans    0.000343
Schaalia_odontolytica              0.002218
Sellimonas_intestinalis            0.001896
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.081455
Streptococcus_parasanguinis        0.001067
Streptococcus_salivarius           0.000000
Streptococcus_sp_A12               0.000000
Streptococcus_sp_FDAARGOS_192      0.002462
Streptococcus_sp_oral_taxon_431    0.033551
Subdoligranulum_variabile          0.000395
Traorella_massiliensis             0.000501
Tyzzerella_nexilis                 0.000255
Veillonella_dispar                 0.000334
bacterium_LF-3                     0.000250
Random                             0.000515
Length: 159, dtype: float64",1.0
2,"Absiella_dolichum                  0.000143
Acetivibrio_ethanolgignens         0.004437
Agathobaculum_desmolans            0.002600
Alistipes_finegoldii               0.000547
Alistipes_obesi                    0.000000
Alistipes_putredinis               0.000662
Alistipes_senegalensis             0.000196
Alistipes_shahii                   0.000105
Anaerobutyricum_hallii             0.000000
Anaerostipes_hadrus                0.000000
Anaerotignum_lactatifermentans     0.000000
Anaerotignum_neopropionicum        0.061618
Anaerotruncus_colihominis          0.001748
Angelakisella_massiliensis         0.000000
Bacteroides_barnesiae              0.000305
Bacteroides_caccae                 0.000499
Bacteroides_caecimuris             0.000000
Bacteroides_cellulosilyticus       0.000000
Bacteroides_coprocola              0.001389
Bacteroides_coprophilus            0.002129
Bacteroides_dorei                  0.000000
Bacteroides_faecichinchillae       0.000031
Bacteroides_fluxus                 0.000380
Bacteroides_fragilis               0.000501
Bacteroides_helcogenes             0.001112
Bacteroides_heparinolyticus        0.000258
Bacteroides_nordii                 0.000000
Bacteroides_ovatus                 0.000500
Bacteroides_pectinophilus          0.007711
Bacteroides_plebeius               0.001060
                                     ...   
Prevotella_stercorea               0.001027
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.000000
Pseudoflavonifractor_capillosus    0.000000
Roseburia_faecis                   0.000315
Roseburia_hominis                  0.000370
Roseburia_intestinalis             0.000259
Roseburia_inulinivorans            0.001654
Ruminococcus_bicirculans           0.109738
Ruminococcus_callidus              0.000547
Ruminococcus_faecis                0.001429
Ruminococcus_gnavus                0.001152
Ruminococcus_lactaris              0.011780
Ruminococcus_torques               0.000037
Ruthenibacterium_lactatiformans    0.000000
Schaalia_odontolytica              0.000262
Sellimonas_intestinalis            0.000000
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.058668
Streptococcus_parasanguinis        0.000000
Streptococcus_salivarius           0.000000
Streptococcus_sp_A12               0.000000
Streptococcus_sp_FDAARGOS_192      0.002598
Streptococcus_sp_oral_taxon_431    0.014571
Subdoligranulum_variabile          0.000000
Traorella_massiliensis             0.000453
Tyzzerella_nexilis                 0.006353
Veillonella_dispar                 0.000000
bacterium_LF-3                     0.000000
Random                             0.000000
Length: 159, dtype: float64",0.9736842105263158
3,"Absiella_dolichum                  0.000290
Acetivibrio_ethanolgignens         0.006010
Agathobaculum_desmolans            0.002158
Alistipes_finegoldii               0.000220
Alistipes_obesi                    0.000000
Alistipes_putredinis               0.002686
Alistipes_senegalensis             0.001048
Alistipes_shahii                   0.000579
Anaerobutyricum_hallii             0.001661
Anaerostipes_hadrus                0.000000
Anaerotignum_lactatifermentans     0.000000
Anaerotignum_neopropionicum        0.055982
Anaerotruncus_colihominis          0.001493
Angelakisella_massiliensis         0.000802
Bacteroides_barnesiae              0.002069
Bacteroides_caccae                 0.000571
Bacteroides_caecimuris             0.000315
Bacteroides_cellulosilyticus       0.000000
Bacteroides_coprocola              0.005243
Bacteroides_coprophilus            0.000326
Bacteroides_dorei                  0.000223
Bacteroides_faecichinchillae       0.004675
Bacteroides_fluxus                 0.001065
Bacteroides_fragilis               0.000668
Bacteroides_helcogenes             0.000123
Bacteroides_heparinolyticus        0.001948
Bacteroides_nordii                 0.000000
Bacteroides_ovatus                 0.000441
Bacteroides_pectinophilus          0.008139
Bacteroides_plebeius               0.000000
                                     ...   
Prevotella_stercorea               0.000453
Prevotellamassilia_timonensis      0.000907
Provencibacterium_massiliense      0.000427
Pseudoflavonifractor_capillosus    0.000000
Roseburia_faecis                   0.009100
Roseburia_hominis                  0.007831
Roseburia_intestinalis             0.002205
Roseburia_inulinivorans            0.002956
Ruminococcus_bicirculans           0.081473
Ruminococcus_callidus              0.000844
Ruminococcus_faecis                0.000000
Ruminococcus_gnavus                0.000000
Ruminococcus_lactaris              0.016611
Ruminococcus_torques               0.000000
Ruthenibacterium_lactatiformans    0.000000
Schaalia_odontolytica              0.003214
Sellimonas_intestinalis            0.001041
Solobacterium_moorei               0.001138
Streptococcus_mitis                0.055663
Streptococcus_parasanguinis        0.000369
Streptococcus_salivarius           0.000538
Streptococcus_sp_A12               0.000000
Streptococcus_sp_FDAARGOS_192      0.000305
Streptococcus_sp_oral_taxon_431    0.019133
Subdoligranulum_variabile          0.001201
Traorella_massiliensis             0.000996
Tyzzerella_nexilis                 0.003839
Veillonella_dispar                 0.001256
bacterium_LF-3                     0.001018
Random                             0.000797
Length: 159, dtype: float64",0.9868421052631579
4,"Absiella_dolichum                  0.000000
Acetivibrio_ethanolgignens         0.004891
Agathobaculum_desmolans            0.000838
Alistipes_finegoldii               0.001467
Alistipes_obesi                    0.000695
Alistipes_putredinis               0.000000
Alistipes_senegalensis             0.000309
Alistipes_shahii                   0.000000
Anaerobutyricum_hallii             0.001447
Anaerostipes_hadrus                0.000085
Anaerotignum_lactatifermentans     0.000978
Anaerotignum_neopropionicum        0.071862
Anaerotruncus_colihominis          0.000705
Angelakisella_massiliensis         0.000462
Bacteroides_barnesiae              0.000245
Bacteroides_caccae                 0.000185
Bacteroides_caecimuris             0.000000
Bacteroides_cellulosilyticus       0.000725
Bacteroides_coprocola              0.001572
Bacteroides_coprophilus            0.001243
Bacteroides_dorei                  0.000000
Bacteroides_faecichinchillae       0.002020
Bacteroides_fluxus                 0.000079
Bacteroides_fragilis               0.000124
Bacteroides_helcogenes             0.004084
Bacteroides_heparinolyticus        0.000000
Bacteroides_nordii                 0.000639
Bacteroides_ovatus                 0.000961
Bacteroides_pectinophilus          0.000000
Bacteroides_plebeius               0.000000
                                     ...   
Prevotella_stercorea               0.000000
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.000000
Pseudoflavonifractor_capillosus    0.000000
Roseburia_faecis                   0.005114
Roseburia_hominis                  0.002929
Roseburia_intestinalis             0.002789
Roseburia_inulinivorans            0.000742
Ruminococcus_bicirculans           0.105912
Ruminococcus_callidus              0.000000
Ruminococcus_faecis                0.000315
Ruminococcus_gnavus                0.000000
Ruminococcus_lactaris              0.003098
Ruminococcus_torques               0.000000
Ruthenibacterium_lactatiformans    0.000000
Schaalia_odontolytica              0.000117
Sellimonas_intestinalis            0.000446
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.088586
Streptococcus_parasanguinis        0.000339
Streptococcus_salivarius           0.001284
Streptococcus_sp_A12               0.001811
Streptococcus_sp_FDAARGOS_192      0.000784
Streptococcus_sp_oral_taxon_431    0.015726
Subdoligranulum_variabile          0.000378
Traorella_massiliensis             0.000506
Tyzzerella_nexilis                 0.002157
Veillonella_dispar                 0.000719
bacterium_LF-3                     0.000000
Random                             0.000160
Length: 159, dtype: float64",0.9868421052631579
5,"Absiella_dolichum                  0.000480
Acetivibrio_ethanolgignens         0.013344
Agathobaculum_desmolans            0.003849
Alistipes_finegoldii               0.002471
Alistipes_obesi                    0.000496
Alistipes_putredinis               0.000000
Alistipes_senegalensis             0.000135
Alistipes_shahii                   0.000236
Anaerobutyricum_hallii             0.000428
Anaerostipes_hadrus                0.002381
Anaerotignum_lactatifermentans     0.000000
Anaerotignum_neopropionicum        0.061261
Anaerotruncus_colihominis          0.000813
Angelakisella_massiliensis         0.000161
Bacteroides_barnesiae              0.001490
Bacteroides_caccae                 0.000520
Bacteroides_caecimuris             0.004983
Bacteroides_cellulosilyticus       0.000224
Bacteroides_coprocola              0.002310
Bacteroides_coprophilus            0.001794
Bacteroides_dorei                  0.001062
Bacteroides_faecichinchillae       0.000229
Bacteroides_fluxus                 0.005553
Bacteroides_fragilis               0.000000
Bacteroides_helcogenes             0.000000
Bacteroides_heparinolyticus        0.000431
Bacteroides_nordii                 0.000034
Bacteroides_ovatus                 0.000949
Bacteroides_pectinophilus          0.000000
Bacteroides_plebeius               0.000274
                                     ...   
Prevotella_stercorea               0.000664
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.001244
Pseudoflavonifractor_capillosus    0.000000
Roseburia_faecis                   0.007465
Roseburia_hominis                  0.000326
Roseburia_intestinalis             0.004533
Roseburia_inulinivorans            0.000604
Ruminococcus_bicirculans           0.072390
Ruminococcus_callidus              0.000287
Ruminococcus_faecis                0.000000
Ruminococcus_gnavus                0.000917
Ruminococcus_lactaris              0.002117
Ruminococcus_torques               0.000572
Ruthenibacterium_lactatiformans    0.000892
Schaalia_odontolytica              0.001381
Sellimonas_intestinalis            0.000258
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.105303
Streptococcus_parasanguinis        0.000000
Streptococcus_salivarius           0.000345
Streptococcus_sp_A12               0.001023
Streptococcus_sp_FDAARGOS_192      0.000728
Streptococcus_sp_oral_taxon_431    0.031140
Subdoligranulum_variabile          0.001628
Traorella_massiliensis             0.000000
Tyzzerella_nexilis                 0.002189
Veillonella_dispar                 0.001523
bacterium_LF-3                     0.000650
Random                             0.000215
Length: 159, dtype: float64",1.0
6,"Absiella_dolichum                  0.000371
Acetivibrio_ethanolgignens         0.012261
Agathobaculum_desmolans            0.003688
Alistipes_finegoldii               0.000000
Alistipes_obesi                    0.000000
Alistipes_putredinis               0.000888
Alistipes_senegalensis             0.000000
Alistipes_shahii                   0.001070
Anaerobutyricum_hallii             0.000534
Anaerostipes_hadrus                0.000000
Anaerotignum_lactatifermentans     0.000000
Anaerotignum_neopropionicum        0.028910
Anaerotruncus_colihominis          0.000561
Angelakisella_massiliensis         0.000000
Bacteroides_barnesiae              0.000624
Bacteroides_caccae                 0.000234
Bacteroides_caecimuris             0.004097
Bacteroides_cellulosilyticus       0.000240
Bacteroides_coprocola              0.001039
Bacteroides_coprophilus            0.000870
Bacteroides_dorei                  0.001424
Bacteroides_faecichinchillae       0.000470
Bacteroides_fluxus                 0.000248
Bacteroides_fragilis               0.000727
Bacteroides_helcogenes             0.000000
Bacteroides_heparinolyticus        0.000000
Bacteroides_nordii                 0.000000
Bacteroides_ovatus                 0.000000
Bacteroides_pectinophilus          0.009653
Bacteroides_plebeius               0.000272
                                     ...   
Prevotella_stercorea               0.000000
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.000596
Pseudoflavonifractor_capillosus    0.000000
Roseburia_faecis                   0.003605
Roseburia_hominis                  0.005128
Roseburia_intestinalis             0.000000
Roseburia_inulinivorans            0.000621
Ruminococcus_bicirculans           0.049091
Ruminococcus_callidus              0.000411
Ruminococcus_faecis                0.000000
Ruminococcus_gnavus                0.000557
Ruminococcus_lactaris              0.002112
Ruminococcus_torques               0.000000
Ruthenibacterium_lactatiformans    0.000552
Schaalia_odontolytica              0.000799
Sellimonas_intestinalis            0.000000
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.117552
Streptococcus_parasanguinis        0.000000
Streptococcus_salivarius           0.000000
Streptococcus_sp_A12               0.001164
Streptococcus_sp_FDAARGOS_192      0.000000
Streptococcus_sp_oral_taxon_431    0.041161
Subdoligranulum_variabile          0.000000
Traorella_massiliensis             0.000000
Tyzzerella_nexilis                 0.002805
Veillonella_dispar                 0.000094
bacterium_LF-3                     0.000000
Random                             0.001932
Length: 159, dtype: float64",0.9868421052631579
7,"Absiella_dolichum                  0.000842
Acetivibrio_ethanolgignens         0.011571
Agathobaculum_desmolans            0.001920
Alistipes_finegoldii               0.000328
Alistipes_obesi                    0.000126
Alistipes_putredinis               0.000000
Alistipes_senegalensis             0.000335
Alistipes_shahii                   0.000000
Anaerobutyricum_hallii             0.000000
Anaerostipes_hadrus                0.000000
Anaerotignum_lactatifermentans     0.000996
Anaerotignum_neopropionicum        0.086038
Anaerotruncus_colihominis          0.000000
Angelakisella_massiliensis         0.001526
Bacteroides_barnesiae              0.000799
Bacteroides_caccae                 0.000000
Bacteroides_caecimuris             0.000000
Bacteroides_cellulosilyticus       0.000132
Bacteroides_coprocola              0.004276
Bacteroides_coprophilus            0.001717
Bacteroides_dorei                  0.000000
Bacteroides_faecichinchillae       0.000162
Bacteroides_fluxus                 0.001151
Bacteroides_fragilis               0.000000
Bacteroides_helcogenes             0.002023
Bacteroides_heparinolyticus        0.000000
Bacteroides_nordii                 0.000000
Bacteroides_ovatus                 0.000543
Bacteroides_pectinophilus          0.000379
Bacteroides_plebeius               0.000258
                                     ...   
Prevotella_stercorea               0.000248
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.000968
Pseudoflavonifractor_capillosus    0.000731
Roseburia_faecis                   0.004040
Roseburia_hominis                  0.002687
Roseburia_intestinalis             0.000138
Roseburia_inulinivorans            0.001646
Ruminococcus_bicirculans           0.083659
Ruminococcus_callidus              0.000000
Ruminococcus_faecis                0.000445
Ruminococcus_gnavus                0.000234
Ruminococcus_lactaris              0.002013
Ruminococcus_torques               0.000000
Ruthenibacterium_lactatiformans    0.000000
Schaalia_odontolytica              0.000186
Sellimonas_intestinalis            0.000000
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.094289
Streptococcus_parasanguinis        0.000884
Streptococcus_salivarius           0.003295
Streptococcus_sp_A12               0.000527
Streptococcus_sp_FDAARGOS_192      0.001950
Streptococcus_sp_oral_taxon_431    0.055103
Subdoligranulum_variabile          0.001248
Traorella_massiliensis             0.000629
Tyzzerella_nexilis                 0.000393
Veillonella_dispar                 0.000184
bacterium_LF-3                     0.000267
Random                             0.000428
Length: 159, dtype: float64",0.9868421052631579
8,"Absiella_dolichum                  0.000000
Acetivibrio_ethanolgignens         0.000377
Agathobaculum_desmolans            0.000092
Alistipes_finegoldii               0.003534
Alistipes_obesi                    0.000259
Alistipes_putredinis               0.005234
Alistipes_senegalensis             0.001333
Alistipes_shahii                   0.000000
Anaerobutyricum_hallii             0.000000
Anaerostipes_hadrus                0.002175
Anaerotignum_lactatifermentans     0.001503
Anaerotignum_neopropionicum        0.051117
Anaerotruncus_colihominis          0.002311
Angelakisella_massiliensis         0.000000
Bacteroides_barnesiae              0.001690
Bacteroides_caccae                 0.000000
Bacteroides_caecimuris             0.002976
Bacteroides_cellulosilyticus       0.000702
Bacteroides_coprocola              0.001682
Bacteroides_coprophilus            0.000000
Bacteroides_dorei                  0.002057
Bacteroides_faecichinchillae       0.000829
Bacteroides_fluxus                 0.003279
Bacteroides_fragilis               0.000495
Bacteroides_helcogenes             0.002515
Bacteroides_heparinolyticus        0.000019
Bacteroides_nordii                 0.000629
Bacteroides_ovatus                 0.000657
Bacteroides_pectinophilus          0.003908
Bacteroides_plebeius               0.000364
                                     ...   
Prevotella_stercorea               0.001065
Prevotellamassilia_timonensis      0.000214
Provencibacterium_massiliense      0.000675
Pseudoflavonifractor_capillosus    0.000691
Roseburia_faecis                   0.003741
Roseburia_hominis                  0.000582
Roseburia_intestinalis             0.005174
Roseburia_inulinivorans            0.000000
Ruminococcus_bicirculans           0.058229
Ruminococcus_callidus              0.004870
Ruminococcus_faecis                0.000261
Ruminococcus_gnavus                0.000273
Ruminococcus_lactaris              0.009978
Ruminococcus_torques               0.000035
Ruthenibacterium_lactatiformans    0.002121
Schaalia_odontolytica              0.001174
Sellimonas_intestinalis            0.000786
Solobacterium_moorei               0.000000
Streptococcus_mitis                0.052348
Streptococcus_parasanguinis        0.000000
Streptococcus_salivarius           0.000000
Streptococcus_sp_A12               0.000000
Streptococcus_sp_FDAARGOS_192      0.000208
Streptococcus_sp_oral_taxon_431    0.069491
Subdoligranulum_variabile          0.000212
Traorella_massiliensis             0.001119
Tyzzerella_nexilis                 0.000287
Veillonella_dispar                 0.001133
bacterium_LF-3                     0.000714
Random                             0.000396
Length: 159, dtype: float64",0.9868421052631579
9,"Absiella_dolichum                  0.000236
Acetivibrio_ethanolgignens         0.002097
Agathobaculum_desmolans            0.002014
Alistipes_finegoldii               0.002027
Alistipes_obesi                    0.000000
Alistipes_putredinis               0.001555
Alistipes_senegalensis             0.000626
Alistipes_shahii                   0.000149
Anaerobutyricum_hallii             0.006212
Anaerostipes_hadrus                0.002220
Anaerotignum_lactatifermentans     0.000000
Anaerotignum_neopropionicum        0.057886
Anaerotruncus_colihominis          0.002680
Angelakisella_massiliensis         0.000194
Bacteroides_barnesiae              0.000000
Bacteroides_caccae                 0.000000
Bacteroides_caecimuris             0.001673
Bacteroides_cellulosilyticus       0.000000
Bacteroides_coprocola              0.004131
Bacteroides_coprophilus            0.001298
Bacteroides_dorei                  0.000000
Bacteroides_faecichinchillae       0.000337
Bacteroides_fluxus                 0.000000
Bacteroides_fragilis               0.000000
Bacteroides_helcogenes             0.000000
Bacteroides_heparinolyticus        0.000364
Bacteroides_nordii                 0.000000
Bacteroides_ovatus                 0.003128
Bacteroides_pectinophilus          0.000658
Bacteroides_plebeius               0.000180
                                     ...   
Prevotella_stercorea               0.000000
Prevotellamassilia_timonensis      0.000000
Provencibacterium_massiliense      0.001784
Pseudoflavonifractor_capillosus    0.000501
Roseburia_faecis                   0.000268
Roseburia_hominis                  0.003601
Roseburia_intestinalis             0.003920
Roseburia_inulinivorans            0.000568
Ruminococcus_bicirculans           0.087826
Ruminococcus_callidus              0.001101
Ruminococcus_faecis                0.000629
Ruminococcus_gnavus                0.001074
Ruminococcus_lactaris              0.003912
Ruminococcus_torques               0.000000
Ruthenibacterium_lactatiformans    0.002350
Schaalia_odontolytica              0.000416
Sellimonas_intestinalis            0.000000
Solobacterium_moorei               0.000364
Streptococcus_mitis                0.067758
Streptococcus_parasanguinis        0.001279
Streptococcus_salivarius           0.001484
Streptococcus_sp_A12               0.000516
Streptococcus_sp_FDAARGOS_192      0.000000
Streptococcus_sp_oral_taxon_431    0.055487
Subdoligranulum_variabile          0.000453
Traorella_massiliensis             0.000491
Tyzzerella_nexilis                 0.001966
Veillonella_dispar                 0.001173
bacterium_LF-3                     0.000270
Random                             0.000208
Length: 159, dtype: float64",0.9736842105263158
