,Features,Accuracy
0,"Abiotrophia_defectiva                      0.000000
Absiella_dolichum                          0.000900
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.002134
Acetivibrio_ethanolgignens                 0.000399
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000000
Acidaminococcus_fermentans                 0.000239
Acidaminococcus_intestini                  0.001251
Acidaminococcus_timonensis                 0.000000
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000261
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000573
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000000
Actinomyces_gerencseriae                   0.000346
Actinomyces_graevenitzii                   0.000000
Actinomyces_hongkongensis                  0.002120
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.000235
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.000499
Veillonella_parvula                        0.002584
Veillonella_rodentium                      0.000000
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000736
Weissella_cibaria                          0.000415
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000130
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000000
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000212
Yersinia_rohdei                            0.000212
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000154
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000946
bacterium_LF-3                             0.001477
bacterium_MS4                              0.004485
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.001887
Length: 1361, dtype: float64",0.7105263157894737
1,"Abiotrophia_defectiva                      0.001095
Absiella_dolichum                          0.002724
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.000000
Acetivibrio_ethanolgignens                 0.001407
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000040
Acidaminococcus_fermentans                 0.000266
Acidaminococcus_intestini                  0.000666
Acidaminococcus_timonensis                 0.000790
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000450
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000352
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000262
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000851
Actinomyces_gerencseriae                   0.000145
Actinomyces_graevenitzii                   0.000921
Actinomyces_hongkongensis                  0.000000
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.002269
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.000000
Veillonella_parvula                        0.001555
Veillonella_rodentium                      0.002085
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000000
Weissella_cibaria                          0.000452
Weissella_paramesenteroides                0.000227
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000202
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000769
Xylella_fastidiosa                         0.000528
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000190
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000000
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000254
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000000
bacterium_LF-3                             0.001397
bacterium_MS4                              0.001918
endosymbiont_TC1_of_Trimyema_compressum    0.000198
nan                                        0.000000
Random                                     0.003209
Length: 1361, dtype: float64",0.7631578947368421
2,"Abiotrophia_defectiva                      0.000000
Absiella_dolichum                          0.000287
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.000416
Acetivibrio_ethanolgignens                 0.005561
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000925
Acholeplasma_modicum                       0.000372
Acidaminococcus_fermentans                 0.001588
Acidaminococcus_intestini                  0.001241
Acidaminococcus_timonensis                 0.001149
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000230
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000256
Acinetobacter_sp_WCHA55                    0.000141
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000266
Actinobacillus_porcitonsillarum            0.000000
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000176
Actinomyces_gerencseriae                   0.000461
Actinomyces_graevenitzii                   0.001740
Actinomyces_hongkongensis                  0.000249
Actinomyces_israelii                       0.000965
Actinomyces_johnsonii                      0.000914
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.001238
Veillonella_parvula                        0.005384
Veillonella_rodentium                      0.000491
Veillonella_seminalis                      0.000486
Victivallales_bacterium_CCUG_44730         0.000000
Weissella_cibaria                          0.000000
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000845
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000000
Xylella_fastidiosa                         0.000180
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000000
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000291
bacterium_A52C2                            0.000125
bacterium_LF-3                             0.000228
bacterium_MS4                              0.004423
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.003661
Length: 1361, dtype: float64",0.7368421052631579
3,"Abiotrophia_defectiva                      0.001416
Absiella_dolichum                          0.002236
Acetanaerobacterium_elongatum              0.000799
Acetitomaculum_ruminis                     0.000000
Acetivibrio_ethanolgignens                 0.000226
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000216
Acholeplasma_modicum                       0.000000
Acidaminococcus_fermentans                 0.002225
Acidaminococcus_intestini                  0.000949
Acidaminococcus_timonensis                 0.001457
Acidovorax_delafieldii                     0.000182
Acidovorax_soli                            0.000125
Acinetobacter_baumannii                    0.000183
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000942
Actinobacillus_pleuropneumoniae            0.000274
Actinobacillus_porcitonsillarum            0.000000
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000346
Actinomyces_gerencseriae                   0.001588
Actinomyces_graevenitzii                   0.000637
Actinomyces_hongkongensis                  0.003643
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.001023
                                             ...   
Veillonella_magna                          0.000220
Veillonella_montpellierensis               0.000000
Veillonella_parvula                        0.002593
Veillonella_rodentium                      0.001803
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000000
Weissella_cibaria                          0.000131
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000256
Xylella_fastidiosa                         0.000529
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000238
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000000
Yersinia_ruckeri                           0.000171
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000945
bacterium_LF-3                             0.001433
bacterium_MS4                              0.001771
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.000696
Length: 1361, dtype: float64",0.7631578947368421
4,"Abiotrophia_defectiva                      0.002162
Absiella_dolichum                          0.002202
Acetanaerobacterium_elongatum              0.000243
Acetitomaculum_ruminis                     0.000000
Acetivibrio_ethanolgignens                 0.000000
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000245
Acidaminococcus_fermentans                 0.001358
Acidaminococcus_intestini                  0.000000
Acidaminococcus_timonensis                 0.001971
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.001567
Acinetobacter_baumannii                    0.000238
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000195
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000000
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000191
Actinomyces_gerencseriae                   0.000000
Actinomyces_graevenitzii                   0.001958
Actinomyces_hongkongensis                  0.000840
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.001815
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.000000
Veillonella_parvula                        0.000965
Veillonella_rodentium                      0.000321
Veillonella_seminalis                      0.002066
Victivallales_bacterium_CCUG_44730         0.001250
Weissella_cibaria                          0.000397
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000000
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000194
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000198
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000136
bacterium_A52C2                            0.000480
bacterium_LF-3                             0.000905
bacterium_MS4                              0.001464
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.004117
Length: 1361, dtype: float64",0.7236842105263158
5,"Abiotrophia_defectiva                      0.001912
Absiella_dolichum                          0.001082
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.000000
Acetivibrio_ethanolgignens                 0.002349
Acholeplasma_axanthum                      0.001027
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000232
Acidaminococcus_fermentans                 0.000695
Acidaminococcus_intestini                  0.000278
Acidaminococcus_timonensis                 0.001622
Acidovorax_delafieldii                     0.000134
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000231
Acinetobacter_sp_WCHA55                    0.000202
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000122
Actinobaculum_massiliense                  0.000178
Actinomyces_dentalis                       0.000235
Actinomyces_gerencseriae                   0.000000
Actinomyces_graevenitzii                   0.000447
Actinomyces_hongkongensis                  0.000884
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.002340
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.000000
Veillonella_parvula                        0.000740
Veillonella_rodentium                      0.001386
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000349
Weissella_cibaria                          0.000000
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000210
Xanthomonas_campestris                     0.000364
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000258
Xenorhabdus_poinarii                       0.000000
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000377
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000938
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.001528
bacterium_LF-3                             0.000850
bacterium_MS4                              0.002080
endosymbiont_TC1_of_Trimyema_compressum    0.000523
nan                                        0.000000
Random                                     0.003149
Length: 1361, dtype: float64",0.6447368421052632
6,"Abiotrophia_defectiva                      0.001035
Absiella_dolichum                          0.001997
Acetanaerobacterium_elongatum              0.000852
Acetitomaculum_ruminis                     0.000236
Acetivibrio_ethanolgignens                 0.004619
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000000
Acidaminococcus_fermentans                 0.001185
Acidaminococcus_intestini                  0.000472
Acidaminococcus_timonensis                 0.001376
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000271
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000740
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000000
Actinomyces_gerencseriae                   0.000000
Actinomyces_graevenitzii                   0.000650
Actinomyces_hongkongensis                  0.000000
Actinomyces_israelii                       0.001194
Actinomyces_johnsonii                      0.000583
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.002534
Veillonella_parvula                        0.000604
Veillonella_rodentium                      0.001178
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000250
Weissella_cibaria                          0.000644
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000528
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000512
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000277
bacterium_LF-3                             0.002370
bacterium_MS4                              0.004052
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.001128
Length: 1361, dtype: float64",0.7236842105263158
7,"Abiotrophia_defectiva                      0.002369
Absiella_dolichum                          0.000650
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.000250
Acetivibrio_ethanolgignens                 0.002296
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000000
Acidaminococcus_fermentans                 0.000000
Acidaminococcus_intestini                  0.001699
Acidaminococcus_timonensis                 0.000648
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000236
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000134
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000256
Actinobaculum_massiliense                  0.001106
Actinomyces_dentalis                       0.000000
Actinomyces_gerencseriae                   0.000000
Actinomyces_graevenitzii                   0.000489
Actinomyces_hongkongensis                  0.000528
Actinomyces_israelii                       0.000000
Actinomyces_johnsonii                      0.001160
                                             ...   
Veillonella_magna                          0.000373
Veillonella_montpellierensis               0.000000
Veillonella_parvula                        0.001473
Veillonella_rodentium                      0.001426
Veillonella_seminalis                      0.000626
Victivallales_bacterium_CCUG_44730         0.000353
Weissella_cibaria                          0.000000
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000199
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000128
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000207
Xylella_fastidiosa                         0.000765
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.001128
Yersinia_frederiksenii                     0.000000
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000000
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000000
bacterium_LF-3                             0.000218
bacterium_MS4                              0.000756
endosymbiont_TC1_of_Trimyema_compressum    0.000506
nan                                        0.000000
Random                                     0.002272
Length: 1361, dtype: float64",0.7105263157894737
8,"Abiotrophia_defectiva                      0.000000
Absiella_dolichum                          0.002325
Acetanaerobacterium_elongatum              0.000000
Acetitomaculum_ruminis                     0.000502
Acetivibrio_ethanolgignens                 0.000593
Acholeplasma_axanthum                      0.000000
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000180
Acidaminococcus_fermentans                 0.000254
Acidaminococcus_intestini                  0.001320
Acidaminococcus_timonensis                 0.001820
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000414
Acinetobacter_baumannii                    0.000890
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000000
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000000
Acinetobacter_tandoii                      0.000665
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.001304
Actinobacillus_porcitonsillarum            0.000577
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000972
Actinomyces_gerencseriae                   0.001436
Actinomyces_graevenitzii                   0.000695
Actinomyces_hongkongensis                  0.000385
Actinomyces_israelii                       0.000844
Actinomyces_johnsonii                      0.000943
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.000344
Veillonella_parvula                        0.000267
Veillonella_rodentium                      0.000274
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.002120
Weissella_cibaria                          0.000379
Weissella_paramesenteroides                0.000528
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000000
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000173
Xenorhabdus_poinarii                       0.000000
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000454
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000000
Yersinia_ruckeri                           0.000249
Yokenella_regensburgei                     0.000261
Youngiibacter_fragilis                     0.000382
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.000964
bacterium_LF-3                             0.001054
bacterium_MS4                              0.002207
endosymbiont_TC1_of_Trimyema_compressum    0.000000
nan                                        0.000000
Random                                     0.000000
Length: 1361, dtype: float64",0.75
9,"Abiotrophia_defectiva                      0.001466
Absiella_dolichum                          0.000489
Acetanaerobacterium_elongatum              0.000222
Acetitomaculum_ruminis                     0.000471
Acetivibrio_ethanolgignens                 0.000000
Acholeplasma_axanthum                      0.000552
Acholeplasma_brassicae                     0.000000
Acholeplasma_modicum                       0.000000
Acidaminococcus_fermentans                 0.000000
Acidaminococcus_intestini                  0.000415
Acidaminococcus_timonensis                 0.000570
Acidovorax_delafieldii                     0.000000
Acidovorax_soli                            0.000000
Acinetobacter_baumannii                    0.000000
Acinetobacter_haemolyticus                 0.000000
Acinetobacter_indicus                      0.000218
Acinetobacter_johnsonii                    0.000000
Acinetobacter_lwoffii                      0.000000
Acinetobacter_sp_WCHA55                    0.000998
Acinetobacter_tandoii                      0.000000
Acinetobacter_ursingii                     0.000000
Actinobacillus_pleuropneumoniae            0.000000
Actinobacillus_porcitonsillarum            0.000688
Actinobaculum_massiliense                  0.000000
Actinomyces_dentalis                       0.000000
Actinomyces_gerencseriae                   0.000577
Actinomyces_graevenitzii                   0.001051
Actinomyces_hongkongensis                  0.000468
Actinomyces_israelii                       0.000718
Actinomyces_johnsonii                      0.001143
                                             ...   
Veillonella_magna                          0.000000
Veillonella_montpellierensis               0.001895
Veillonella_parvula                        0.002825
Veillonella_rodentium                      0.000527
Veillonella_seminalis                      0.000000
Victivallales_bacterium_CCUG_44730         0.000229
Weissella_cibaria                          0.000236
Weissella_paramesenteroides                0.000000
Williamwhitmania_taraxaci                  0.000000
Winkia_neuii                               0.000000
Xanthomonas_campestris                     0.000097
Xanthomonas_massiliensis                   0.000000
Xenorhabdus_bovienii                       0.000000
Xenorhabdus_poinarii                       0.000165
Xylella_fastidiosa                         0.000000
Yersinia_aldovae                           0.000000
Yersinia_enterocolitica                    0.000000
Yersinia_frederiksenii                     0.000526
Yersinia_massiliensis                      0.000000
Yersinia_rohdei                            0.000140
Yersinia_ruckeri                           0.000000
Yokenella_regensburgei                     0.000000
Youngiibacter_fragilis                     0.000000
Zhihengliuella_sp_ISTPL4                   0.000000
bacterium_A52C2                            0.001186
bacterium_LF-3                             0.000158
bacterium_MS4                              0.000918
endosymbiont_TC1_of_Trimyema_compressum    0.001466
nan                                        0.000000
Random                                     0.003810
Length: 1361, dtype: float64",0.6973684210526315
